Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
tr TUR,"MF,FW",Sandhausen,21,2000,10,2,231,2.6,1,0,1,1,0,0,2,0,0.39,0.0,0.39,0.39,0.39,,,,,,,,,,,,,700000.0,Ahmed Kutucu,1939,A. Kutucu,21,68,75,181,76,Right,70,FW,7,2500000,11000,310,55,67,61,63,64,317,70,61,66,54,66,364,81,76,75,64,68,339,78,63,63,71,64,279,71,30,67,53,58,133,35,45,53,57,11,9,9,14,14,4,High,Medium,1,Bundesliga2
de GER,FW,Darmstadt 98,19,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Andre Leipold,3391,A. Leipold,19,59,70,185,76,Right,61,FW,11,500000,2000,263,44,62,55,49,53,235,68,46,30,29,62,328,78,79,62,49,60,257,55,52,49,52,49,197,25,20,54,53,45,55,19,20,16,69,13,14,15,12,15,3,Medium,Medium,1,Bundesliga2
de GER,FW,Düsseldorf,22,1999,10,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Lex Lobinger,3392,L. Lobinger,22,59,68,192,85,Right,61,FW,9,500000,4000,258,25,60,64,56,53,196,48,30,28,32,58,259,51,58,54,55,41,323,65,80,59,76,43,244,59,22,58,50,55,72,24,25,23,47,13,7,10,10,7,2,Medium,Medium,1,Bundesliga2
de GER,"MF,FW",Hannover 96,22,1999,27,19,"1,606",17.8,6,1,7,6,0,0,2,0,0.34,0.06,0.39,0.34,0.39,,,,,,,,,,,,,1800000.0,Linton Maina,1807,L. Maina,22,69,77,173,70,Right,70,FW,8,3100000,11000,291,64,65,44,63,55,304,72,63,43,57,69,421,94,91,85,63,88,270,57,55,65,44,49,218,38,19,55,62,44,71,26,23,22,55,14,12,14,7,8,4,Medium,Medium,1,Bundesliga2
de GER,"MF,FW",Heidenheim,20,2000,20,6,699,7.8,2,0,2,2,0,0,2,0,0.26,0.0,0.26,0.26,0.26,,,,,,,,,,,,,500000.0,Maurice Malone,2116,M. Malone,20,67,76,187,87,Left,69,FW,9,2200000,6000,297,58,68,62,63,46,301,69,53,53,60,66,356,81,77,64,63,71,342,66,65,66,78,67,259,49,28,66,56,60,82,25,28,29,63,15,11,10,14,13,3,High,Low,1,Bundesliga2
de GER,FW,Hamburger SV,21,1999,4,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Robin Meißner,2638,R. Meißner,21,64,70,181,78,Right,66,FW,6,950000,3000,271,33,70,65,46,57,238,60,40,34,40,64,326,66,66,67,58,69,335,72,80,63,67,53,240,50,15,65,51,59,50,17,18,15,41,7,5,6,13,10,4,High,Medium,1,Bundesliga2
do DOM,"MF,FW",Dresden,23,1997,26,15,"1,265",14.1,3,0,3,3,0,0,1,0,0.21,0.0,0.21,0.21,0.21,,,,,,,,,,,,,400000.0,Heinz Mörschel,2297,H. Mörschel,23,66,72,190,75,Right,68,FW,6,1400000,5000,310,57,65,68,67,53,326,68,58,70,61,69,304,65,55,65,64,55,299,67,38,54,77,63,268,35,34,65,66,68,107,48,42,17,53,7,10,13,13,10,4,Medium,Medium,1,Bundesliga2
xk KVX,"MF,FW",Hannover 96,23,1998,13,5,476,5.3,1,0,1,1,0,1,0,0,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,1200000.0,Florent Muslija,1938,F. Muslija,22,68,76,172,65,Right,69,FW,8,2700000,6000,279,63,57,38,62,59,350,77,70,75,57,71,398,82,71,90,63,92,306,65,67,68,40,66,233,36,32,54,63,48,88,27,28,33,45,13,14,7,6,5,3,High,Low,1,Bundesliga2
de GER,"MF,FW",Werder Bremen,19,2002,6,2,138,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250000.0,Abdenego Nankishi,3123,A. Nankishi,18,61,76,178,76,Right,63,FW,15,750000,1000,240,52,51,29,58,50,274,70,56,39,47,62,373,88,83,71,61,70,275,57,63,60,46,49,217,27,50,47,46,47,67,21,27,19,61,10,13,9,14,15,3,Medium,Low,1,Bundesliga2
bg BUL,"MF,FW",Nürnberg,22,1999,31,17,"1,586",17.6,3,2,5,3,0,0,5,0,0.17,0.11,0.28,0.17,0.28,,,,,,,,,,,,,1500000.0,Fabian Nürnberger,1690,F. Nürnberger,21,70,76,178,72,Left,72,FW,6,2500000,6000,307,64,59,56,73,55,314,72,63,39,66,74,368,77,71,79,68,73,316,66,49,81,58,62,313,71,65,67,66,44,206,65,70,71,45,6,13,10,8,8,2,High,Medium,1,Bundesliga2
de GER,FW,Jahn R'burg,22,1999,20,10,914,10.2,3,1,4,3,0,0,1,1,0.3,0.1,0.39,0.3,0.39,,,,,,,,,,,,,500000.0,David Otto,2112,D. Otto,22,67,75,185,82,Right,69,FW,8,2300000,10000,298,50,70,64,64,50,257,68,47,34,40,68,327,73,70,61,59,64,342,68,71,69,68,66,252,33,20,72,59,68,67,29,20,18,60,12,14,9,11,14,3,High,Medium,1,Bundesliga2
de GER,FW,Schalke 04,21,1999,24,7,731,8.1,2,2,4,2,0,0,5,0,0.25,0.25,0.49,0.25,0.49,,,,,,,,,,,,,500000.0,Marvin Pieringer,1932,M. Pieringer,21,68,76,189,82,Right,70,FW,8,2700000,2000,308,45,70,67,62,64,265,64,52,39,39,71,311,61,63,67,65,55,324,70,49,68,76,61,263,60,22,68,51,62,74,26,25,23,46,10,10,12,6,8,3,Medium,Medium,1,Bundesliga2
de GER,"MF,FW",Nürnberg,21,1999,21,12,"1,135",12.6,3,1,4,3,0,0,2,0,0.24,0.08,0.32,0.24,0.32,,,,,,,,,,,,,500000.0,Lukas Schleimer,2643,L. Schleimer,21,64,69,180,73,Right,66,FW,5,900000,2000,266,55,58,44,64,45,291,69,52,47,56,67,346,69,67,77,60,73,261,54,61,63,34,49,246,36,41,64,62,43,121,37,41,43,62,7,13,14,15,13,3,Medium,Medium,1,Bundesliga2
de GER,"MF,FW",Hansa Rostock,23,1997,22,7,845,9.4,0,2,2,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,,,,,,,,,,,,,300000.0,Kevin Schumacher,2639,K. Schumacher,23,64,70,182,72,Left,66,FW,6,925000,3000,282,59,56,52,55,60,302,70,63,52,55,62,364,87,85,68,61,63,319,66,61,68,68,56,256,62,25,57,60,52,80,19,31,30,53,12,9,7,11,14,3,High,Medium,1,Bundesliga2
de GER,"MF,FW",Jahn R'burg,23,1998,12,6,539,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,,,,,,,,,,,,,500000.0,Nicklas Shipnoski,1935,N. Shipnoski,23,68,74,184,68,Right,69,FW,6,1900000,9000,299,64,64,49,65,57,272,70,56,35,44,67,391,86,85,78,65,77,283,62,53,71,44,53,249,34,25,63,63,64,75,21,24,30,56,12,15,10,6,13,3,High,Medium,1,Bundesliga2
de GER,FW,Nürnberg,19,2002,27,15,"1,336",14.8,6,2,8,6,0,0,1,0,0.4,0.13,0.54,0.4,0.54,,,,,,,,,,,,,3000000.0,Erik Shuranov,2109,E. Shuranov,19,67,78,184,83,Right,69,FW,11,2200000,3000,284,31,72,69,53,59,245,63,53,31,37,61,314,60,60,67,64,63,348,70,73,61,81,63,259,61,19,68,45,66,72,24,26,22,52,13,11,12,10,6,4,Medium,Medium,1,Bundesliga2
ua UKR,"MF,FW",Hansa Rostock,20,2001,11,2,320,3.6,1,1,2,1,0,0,2,1,0.28,0.28,0.56,0.28,0.56,,,,,,,,,,,,,1200000.0,Danylo Sikan,2461,D. Sikan,20,65,79,185,71,Right,67,FW,14,1700000,500,279,31,69,58,64,57,240,66,33,31,46,64,346,75,73,68,64,66,306,58,66,58,59,65,218,36,16,65,43,58,44,14,19,11,55,14,7,12,8,14,2,Medium,Medium,1,Bundesliga2
de GER,"MF,FW",Nürnberg,22,1999,31,28,"2,466",27.4,4,3,7,4,0,0,11,0,0.15,0.11,0.26,0.15,0.26,,,,,,,,,,,,,2000000.0,Lino Tempelmann,1805,L. Tempelmann,22,69,75,174,77,Right,71,FW,6,2200000,11000,279,52,50,62,70,45,303,70,53,43,66,71,389,79,82,78,71,79,327,50,83,79,59,56,302,64,66,65,71,36,186,62,66,58,46,9,8,13,10,6,3,High,Medium,1,Bundesliga2
de GER,"MF,FW",Dresden,22,1999,23,10,"1,025",11.4,2,0,2,2,0,0,2,0,0.18,0.0,0.18,0.18,0.18,,,,,,,,,,,,,400000.0,Paul Will,2299,P. Will,22,66,75,185,77,Left,67,FW,9,1800000,4000,280,67,41,63,71,38,324,63,67,62,68,64,297,61,55,63,56,62,337,65,66,76,75,55,282,75,60,41,58,48,186,60,65,61,48,10,10,11,10,7,3,Medium,High,1,Bundesliga2
de GER,"FW,MF",Hamburger SV,22,1999,27,4,611,6.8,2,1,3,2,0,0,3,0,0.29,0.15,0.44,0.29,0.44,,,,,,,,,,,,,800000.0,Manuel Wintzheimer,1929,M. Wintzheimer,22,68,73,180,77,Right,70,FW,5,1900000,6000,331,69,72,64,66,60,278,65,50,37,57,69,343,71,64,73,64,71,346,71,72,70,71,62,275,57,21,73,69,55,67,23,27,17,49,5,9,12,12,11,5,High,Medium,1,Bundesliga2
de GER,FW,Werder Bremen,19,2002,7,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Nick Woltemade,2814,N. Woltemade,19,63,74,198,78,Right,65,FW,11,1000000,2000,286,43,65,63,64,51,265,67,44,42,44,68,251,53,68,34,63,33,285,60,49,55,66,55,254,53,25,59,56,61,82,25,30,27,49,11,8,13,9,8,3,Medium,Low,1,Bundesliga2
nl NED,FW,Jahn R'burg,22,1999,24,5,558,6.2,2,0,2,2,0,0,0,0,0.32,0.0,0.32,0.32,0.32,,,,,,,,,,,,,450000.0,Joël Zwarts,2302,J. Zwarts,22,66,75,190,83,Left,68,FW,9,1900000,4000,292,60,67,58,54,53,247,65,45,32,39,66,343,78,75,68,62,60,342,70,70,66,78,58,257,63,20,64,50,60,57,18,22,17,41,8,12,8,7,6,3,High,Medium,1,Bundesliga2
eng ENG,FW,Luton Town,23,1998,40,38,"3,370",37.4,16,4,20,13,3,5,6,0,0.43,0.11,0.53,0.35,0.45,16.1,12.6,4.9,17.5,69.0,51.0,254.0,0.43,0.13,0.56,0.34,0.47,4500000.0,Elijah Adebayo,1520,E. Adebayo,23,72,76,193,89,Right,74,FW,4,3400000,11000,306,43,74,71,55,63,280,68,54,46,42,70,345,73,77,66,70,59,370,72,70,77,85,66,304,71,39,74,55,65,119,42,43,34,48,6,11,9,11,11,3,High,Medium,1,Championship
eng ENG,"MF,FW",Barnsley,23,1998,26,7,965,10.7,3,1,4,3,0,0,2,0,0.28,0.09,0.37,0.28,0.37,2.7,2.7,0.8,3.5,23.0,23.0,67.0,0.25,0.07,0.33,0.25,0.33,400000.0,Victor Adeboyejo,2606,V. Adeboyejo,23,64,70,178,63,Right,66,FW,6,925000,9000,277,43,63,59,58,54,248,65,42,37,42,62,357,73,74,72,64,74,335,65,74,68,72,56,237,52,17,62,49,57,69,32,19,18,55,12,9,13,11,10,3,High,Medium,1,Championship
eng ENG,FW,Bournemouth,21,1999,45,38,"3,251",36.1,8,6,14,8,0,0,3,0,0.22,0.17,0.39,0.22,0.39,7.9,7.9,9.1,16.9,100.0,202.0,332.0,0.22,0.25,0.47,0.22,0.47,6000000.0,Jaidon Anthony,1684,J. Anthony,21,70,77,183,68,Right,72,FW,7,3200000,16000,317,73,66,54,65,59,327,69,68,61,57,72,370,78,79,71,67,75,329,63,70,73,64,59,265,48,21,67,67,62,58,15,26,17,52,8,9,7,13,15,3,High,High,1,Championship
eng ENG,FW,Preston,20,2001,20,18,"1,619",18.0,7,1,8,7,0,0,1,0,0.39,0.06,0.44,0.39,0.44,7.1,7.1,2.2,9.4,37.0,28.0,131.0,0.4,0.12,0.52,0.4,0.52,6000000.0,Cameron Archer,2249,C. Archer,19,66,78,170,71,Right,68,FW,12,2000000,11000,296,44,69,61,61,61,277,65,56,47,46,63,361,74,69,70,67,81,326,68,69,61,67,61,255,53,22,67,55,58,61,22,18,21,43,5,6,12,6,14,4,High,Low,1,Championship
eng ENG,"FW,MF",Reading,20,2001,13,5,557,6.2,2,0,2,2,0,0,0,0,0.32,0.0,0.32,0.32,0.32,2.0,2.0,0.0,2.0,16.0,9.0,53.0,0.32,0.0,0.33,0.32,0.33,250000.0,Femi Azeez,2604,F. Azeez,20,64,75,181,69,Left,66,FW,11,1300000,5000,279,56,59,60,63,41,280,64,58,46,47,65,357,79,82,69,55,72,342,70,74,62,72,64,244,54,22,61,54,53,93,25,35,33,60,14,13,6,13,14,2,Medium,Medium,1,Championship
cw CUW,"MF,FW",Birmingham City,23,1997,17,16,"1,304",14.5,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,2.5,2.5,2.9,5.4,22.0,57.0,45.0,0.17,0.2,0.37,0.17,0.37,4500000.0,Juninho Bacuna,1672,J. Bacuna,23,70,77,178,74,Right,73,FW,7,3200000,11000,329,71,65,61,71,61,351,74,68,64,72,73,347,72,69,71,67,68,374,80,75,73,74,72,345,84,65,67,70,59,190,68,66,56,49,6,11,8,14,10,3,Medium,Medium,1,Championship
us USA,FW,Middlesbrough,20,2001,18,9,891,9.9,3,3,6,3,0,0,0,0,0.3,0.3,0.61,0.3,0.61,3.6,3.6,1.4,5.0,16.0,23.0,94.0,0.36,0.14,0.5,0.36,0.5,4000000.0,Folarin Balogun,2060,F. Balogun,19,67,82,178,70,Right,69,FW,15,2400000,15000,290,40,69,57,62,62,264,67,43,37,50,67,359,79,76,74,66,64,311,66,56,63,67,59,239,49,18,67,47,58,49,18,15,16,57,10,12,12,13,10,4,High,Medium,1,Championship
fr FRA,"MF,FW",Barnsley,23,1997,15,14,"1,199",13.3,2,5,7,2,0,0,0,0,0.15,0.38,0.53,0.15,0.53,1.7,1.7,3.2,5.0,16.0,62.0,67.0,0.13,0.24,0.37,0.13,0.37,1500000.0,Amine Bassi,1593,A. Bassi,23,71,75,173,69,Right,73,FW,4,2700000,11000,316,65,65,59,70,57,349,73,68,68,65,75,364,72,67,76,66,83,326,68,57,72,56,73,314,59,51,66,72,66,145,41,53,51,48,7,13,5,9,14,4,High,Low,1,Championship
eng ENG,"DF,FW",Luton Town,23,1997,42,42,"3,730",41.4,1,6,7,1,0,0,5,0,0.02,0.14,0.17,0.02,0.17,2.0,2.0,8.2,10.2,53.0,167.0,167.0,0.05,0.2,0.25,0.05,0.25,2500000.0,James Bree,1591,J. Bree,23,71,75,178,74,Right,71,FW,4,2500000,8000,267,69,38,59,65,36,298,67,47,56,60,68,338,73,73,66,65,61,291,54,62,75,68,32,280,54,67,61,55,43,204,69,69,66,55,14,9,9,16,7,3,High,Medium,1,Championship
eng ENG,FW,Sheffield Utd,21,2000,14,10,797,8.9,3,0,3,3,0,0,2,0,0.34,0.0,0.34,0.34,0.34,3.2,3.2,0.1,3.3,10.0,16.0,51.0,0.36,0.02,0.38,0.36,0.38,7000000.0,Rhian Brewster,1781,R. Brewster,21,69,80,180,75,Right,71,FW,11,3200000,11000,312,50,73,58,61,70,296,72,47,58,50,69,382,79,79,77,71,76,331,71,67,64,62,67,253,51,15,70,56,61,49,14,18,17,42,7,12,10,8,5,3,Medium,Medium,1,Championship
kn SKN,"DF,FW",Reading,19,2001,6,6,495,5.5,0,1,1,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,0.2,0.2,0.7,0.9,7.0,15.0,17.0,0.04,0.13,0.17,0.04,0.17,250000.0,Ethan Bristow,3231,E. Bristow,19,60,70,188,68,Left,60,FW,10,500000,2000,235,61,36,58,53,27,259,56,62,32,51,58,316,71,74,56,53,62,277,39,71,65,65,37,242,52,51,51,49,39,166,50,58,58,45,8,7,11,6,13,2,Medium,Low,1,Championship
sct SCO,FW,Stoke City,23,1998,45,38,"3,249",36.1,13,4,17,13,0,0,8,0,0.36,0.11,0.47,0.36,0.47,11.1,11.1,1.7,12.8,76.0,31.0,271.0,0.31,0.05,0.36,0.31,0.36,3500000.0,Jacob Brown,1784,J. Brown,23,69,74,184,72,Right,71,FW,5,2100000,13000,325,65,69,67,65,59,294,68,56,47,55,68,365,77,75,74,67,72,374,72,82,82,72,66,294,58,44,68,66,58,127,37,49,41,47,6,14,7,6,14,2,High,High,1,Championship
sct SCO,FW,Stoke City,23,1998,45,38,"3,249",36.1,13,4,17,13,0,0,8,0,0.36,0.11,0.47,0.36,0.47,11.1,11.1,1.7,12.8,76.0,31.0,271.0,0.31,0.05,0.36,0.31,0.36,3500000.0,Jacob Brown,1784,J. Brown,23,69,74,184,72,Right,71,FW,5,2100000,13000,325,65,69,67,65,59,294,68,56,47,55,68,365,77,75,74,67,72,374,72,82,82,72,66,294,58,44,68,66,58,127,37,49,41,47,6,14,7,6,14,2,High,High,1,Championship
eng ENG,"MF,FW",Blackburn,21,1999,42,39,"3,133",34.8,3,7,10,3,0,0,13,0,0.09,0.2,0.29,0.09,0.29,3.7,3.7,6.6,10.3,55.0,138.0,128.0,0.11,0.19,0.3,0.11,0.3,1000000.0,John Buckley,1576,J. Buckley,21,71,79,173,63,Right,73,FW,8,4200000,20000,287,55,59,52,74,47,308,71,51,45,74,67,387,79,74,80,72,82,333,66,62,81,62,62,328,72,73,64,73,46,194,63,65,66,54,8,5,14,14,13,4,High,High,1,Championship
eng ENG,"FW,MF",Millwall,19,2001,15,6,618,6.9,2,0,2,2,0,0,2,0,0.29,0.0,0.29,0.29,0.29,1.5,1.5,0.2,1.6,21.0,6.0,33.0,0.22,0.02,0.24,0.22,0.24,200000.0,Tyler Burey,2777,T. Burey,20,63,76,187,78,Right,65,FW,13,1200000,3000,279,54,64,50,56,55,292,61,63,57,49,62,363,80,78,78,64,63,326,65,70,67,64,60,263,66,25,63,55,54,123,39,40,44,39,10,6,7,7,9,3,Medium,Low,1,Championship
gw GNB,"FW,MF",Reading,17,2003,6,0,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.0,4.0,2.0,0.18,0.1,0.28,0.18,0.28,200000.0,Mamadi Camará,2939,Mamadi Camará,17,62,77,174,67,Right,64,FW,15,900000,650,242,48,54,34,65,41,275,65,48,41,58,63,368,78,77,80,50,83,238,52,53,57,33,43,262,54,37,56,66,49,127,44,45,38,55,14,12,7,10,12,2,Medium,Medium,1,Championship
eng ENG,FW,Stoke City,21,1999,26,10,"1,049",11.7,4,1,5,4,0,0,2,0,0.34,0.09,0.43,0.34,0.43,3.4,3.4,1.4,4.8,44.0,20.0,118.0,0.29,0.12,0.41,0.29,0.41,4000000.0,Tyrese Campbell,1678,T. Campbell,21,70,80,183,75,Left,72,FW,10,3600000,13000,324,59,72,63,66,64,296,71,56,54,46,69,369,84,80,69,69,67,338,67,73,59,74,65,287,58,28,67,61,73,86,31,31,24,58,6,13,13,12,14,4,High,Medium,1,Championship
eng ENG,"MF,FW",Blackpool,20,2001,11,5,491,5.5,1,0,1,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18,1.3,1.3,0.9,2.2,14.0,16.0,21.0,0.24,0.17,0.4,0.24,0.4,200000.0,Sonny Carey,3360,S. Carey,20,59,69,184,74,Right,61,FW,10,500000,2000,244,44,50,42,65,43,287,55,52,59,63,58,294,58,66,57,53,60,269,52,55,42,60,60,234,38,26,56,62,52,122,31,40,51,46,9,6,12,12,7,2,High,Low,1,Championship
ma MAR,"MF,FW",QPR,23,1997,39,37,"3,148",35.0,9,5,14,9,0,0,5,0,0.26,0.14,0.4,0.26,0.4,6.4,6.4,6.8,13.2,132.0,170.0,219.0,0.18,0.2,0.38,0.18,0.38,4000000.0,Ilias Chair,1581,I. Chair,23,71,77,164,64,Right,73,FW,6,3000000,11000,292,62,64,40,72,54,334,71,64,61,67,71,393,76,74,86,69,88,305,72,45,74,41,73,245,33,22,66,72,52,90,34,34,22,55,11,15,10,6,13,2,High,Medium,1,Championship
nl NED,"FW,MF",Birmingham City,21,1999,20,18,"1,555",17.3,1,2,3,1,0,0,2,0,0.06,0.12,0.17,0.06,0.17,3.1,3.1,2.8,5.9,40.0,31.0,92.0,0.18,0.16,0.34,0.18,0.34,3500000.0,Tahith Chong,1673,T. Chong,21,70,80,185,75,Left,71,FW,10,3600000,35000,302,68,62,46,67,59,338,72,67,62,67,70,349,80,83,74,56,56,314,73,55,65,59,62,294,65,42,67,69,51,134,43,48,43,53,13,7,14,8,11,3,High,High,1,Championship
jm JAM,FW,Reading,17,2003,12,0,174,1.9,2,0,2,2,0,0,1,0,1.03,0.0,1.03,1.03,1.03,0.6,0.6,0.0,0.6,0.0,0.0,13.0,0.32,0.0,0.32,0.32,0.32,3500000.0,Jahmari Clarke,3350,J. Clarke,17,59,76,191,85,Right,61,FW,17,575000,950,247,41,58,57,43,48,205,58,39,32,31,45,324,73,78,68,57,48,326,68,63,60,81,54,233,49,18,55,48,63,46,16,17,13,48,13,6,15,6,8,3,High,Medium,1,Championship
eng ENG,FW,Middlesbrough,18,2002,18,3,481,5.3,4,0,4,4,0,0,2,0,0.75,0.0,0.75,0.75,0.75,3.1,3.1,0.3,3.4,2.0,4.0,23.0,0.59,0.06,0.65,0.59,0.65,500000.0,Josh Coburn,3347,J. Coburn,18,59,74,193,74,Right,61,FW,15,525000,2000,255,32,65,62,50,46,208,52,40,32,28,56,299,51,54,53,64,77,290,63,65,53,54,55,211,34,10,58,45,64,51,19,19,13,49,8,14,9,10,8,3,Medium,Medium,1,Championship
wls WAL,"MF,FW",Cardiff City,19,2002,34,15,"1,668",18.5,5,1,6,5,0,0,1,0,0.27,0.05,0.32,0.27,0.32,3.0,3.0,3.4,6.4,69.0,80.0,90.0,0.16,0.18,0.35,0.16,0.35,1500000.0,Rubin Colwill,2083,R. Colwill,19,67,79,189,79,Right,69,FW,12,2400000,7000,299,51,66,61,66,55,311,67,57,60,59,68,329,74,73,62,65,55,337,69,62,65,73,68,266,55,33,68,65,45,121,29,48,44,52,6,13,7,12,14,3,Medium,Medium,1,Championship
ie IRL,FW,Middlesbrough,21,2000,19,13,"1,183",13.1,2,0,2,2,0,0,2,0,0.15,0.0,0.15,0.15,0.15,4.5,4.5,0.6,5.1,19.0,19.0,68.0,0.34,0.04,0.38,0.34,0.38,6000000.0,Aaron Connolly,1667,A. Connolly,21,70,77,175,73,Right,72,FW,7,3300000,23000,307,40,70,65,65,67,258,69,32,43,42,72,376,78,73,77,72,76,342,73,72,67,61,69,264,68,16,72,47,61,45,12,18,15,57,12,8,12,13,12,3,Medium,Low,1,Championship
eng ENG,FW,P'borough Utd,18,2002,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.34,0.0,0.34,0.34,0.34,100000.0,Kai Corbett,3654,K. Corbett,18,55,72,182,72,Right,57,FW,17,325000,950,229,31,60,59,43,36,219,54,42,48,31,44,331,74,76,71,47,63,288,50,67,60,58,53,213,26,14,57,51,65,53,15,18,20,50,7,12,11,9,11,2,High,Medium,1,Championship
pl POL,"FW,MF",Derby County,18,2002,4,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1.4,0.0,1.0,4.0,1.81,0.0,1.81,1.81,1.81,150000.0,Bartosz Cybulski,3689,B. Cybulski,18,54,67,196,87,Right,56,FW,13,250000,1000,235,25,56,60,43,51,169,42,28,23,23,53,239,50,58,46,49,36,299,56,68,56,78,41,233,52,16,55,47,63,63,20,21,22,61,13,13,11,13,11,3,Medium,Medium,1,Championship
eng ENG,"MF,FW",Blackpool,22,1998,15,7,704,7.8,2,1,3,2,0,0,0,0,0.26,0.13,0.38,0.26,0.38,0.9,0.9,0.4,1.3,17.0,16.0,51.0,0.11,0.06,0.17,0.11,0.17,400000.0,Owen Dale,2254,O. Dale,22,66,72,175,65,Right,67,FW,6,1400000,4000,277,60,63,53,59,42,274,65,48,47,51,63,392,83,84,82,59,84,319,63,65,79,52,60,229,36,19,63,60,51,78,33,25,20,51,11,11,9,6,14,3,High,Medium,1,Championship
wls WAL,"FW,MF",Cardiff City,19,2001,28,10,"1,200",13.3,2,3,5,2,0,0,1,0,0.15,0.23,0.37,0.15,0.37,2.5,2.5,1.2,3.7,28.0,10.0,89.0,0.19,0.09,0.27,0.19,0.27,400000.0,Isaak Davies,2786,I. Davies,19,63,75,175,65,Right,65,FW,12,1100000,5000,274,50,65,47,57,55,236,66,48,30,27,65,372,82,81,77,62,70,278,61,54,58,52,53,248,52,28,65,47,56,56,13,21,22,48,14,7,7,7,13,4,Medium,Medium,1,Championship
eng ENG,FW,Nott'ham Forest,23,1998,15,14,"1,061",11.8,5,2,7,5,0,0,5,0,0.42,0.17,0.59,0.42,0.59,3.3,3.3,3.4,6.6,39.0,25.0,77.0,0.28,0.29,0.57,0.28,0.57,2500000.0,Keinan Davis,1580,K. Davis,23,71,76,191,88,Left,73,FW,5,2900000,34000,319,47,71,74,63,64,275,71,49,40,40,75,349,68,74,72,67,68,360,70,72,65,93,60,311,80,44,69,58,60,105,44,38,23,44,7,14,9,9,5,2,Medium,Medium,1,Championship
eng ENG,"DF,FW",Bournemouth,21,2000,12,7,574,6.4,0,1,1,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16,0.0,0.0,0.8,0.8,16.0,29.0,34.0,0.0,0.12,0.13,0.0,0.13,800000.0,Leif Davis,2434,L. Davis,21,65,73,180,70,Left,65,FW,8,1500000,11000,243,61,34,57,64,27,244,60,41,30,54,59,359,79,78,70,60,72,255,24,75,64,59,33,246,54,59,51,40,42,179,58,62,59,51,13,6,9,10,13,2,High,Medium,1,Championship
ng NGA,"MF,FW",Reading,21,1999,38,27,"2,442",27.1,4,2,6,4,0,0,2,0,0.15,0.07,0.22,0.15,0.22,4.1,4.1,1.3,5.4,49.0,57.0,102.0,0.15,0.05,0.2,0.15,0.2,2500000.0,Tom Dele-Bashiru,2067,T. Dele-Bashiru,21,67,76,178,68,Right,70,FW,9,2300000,12000,283,49,61,48,66,59,311,70,59,51,63,68,384,80,76,80,64,84,328,74,56,74,55,69,310,56,66,66,67,55,181,59,64,58,47,6,11,13,7,10,3,Medium,Medium,1,Championship
