Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
ca CAN,FW,Excel Mouscron,21,1998,7,2,201,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Charles-Andréas Brym,3020,C. Brym,21,61,68,180,73,Left,63,FW,7,675000,5000,280,51,62,60,54,53,243,63,45,38,36,61,336,68,70,72,58,68,302,62,64,55,66,55,246,56,26,58,51,55,75,18,31,26,44,10,8,14,7,5,3,Medium,Medium,1,BelgianProLeague
gh GHA,"FW,MF",Gent,21,1998,25,18,"1,616",18.0,4,3,7,4,0,0,3,0,0.22,0.17,0.39,0.22,0.39,,,,,,,,,,,,,2500000.0,Osman Bukari,1600,O. Bukari,21,71,78,170,68,Right,72,FW,7,3800000,11000,294,61,63,46,66,58,307,78,61,48,47,73,406,90,83,86,63,84,335,62,83,68,58,64,284,61,28,63,71,61,81,21,31,29,47,13,6,14,7,7,5,High,Medium,1,BelgianProLeague
ao ANG,FW,Excel Mouscron,18,2002,3,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Capita,3144,Capita,18,60,74,171,63,Left,63,FW,14,575000,650,244,57,53,29,58,47,302,72,54,50,56,70,353,76,71,83,40,83,266,45,71,61,38,51,194,21,19,43,56,55,53,16,23,14,48,9,8,13,10,8,4,Medium,Medium,1,BelgianProLeague
ge GEO,"MF,FW",Gent,20,1999,3,2,176,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2700000.0,Giorgi Chakvetadze,1684,G. Chakvetadze,20,70,79,183,78,Right,72,FW,9,3500000,9000,308,69,64,39,72,64,351,75,76,59,67,74,353,74,70,78,60,71,320,75,70,42,63,70,263,38,30,67,70,58,102,29,41,32,52,10,8,13,8,13,3,Medium,Medium,1,BelgianProLeague
nl NED,FW,Club Brugge,20,1999,7,5,391,4.3,0,2,2,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,,,,,,,,,,,,,4000000.0,Tahith Chong,2017,T. Chong,20,67,78,185,75,Left,69,FW,11,2200000,24000,296,65,61,46,65,59,328,70,67,62,63,66,334,77,79,74,56,48,319,73,56,65,63,62,289,65,42,66,65,51,131,43,46,42,53,13,7,14,8,11,3,High,High,1,BelgianProLeague
cw CUW,"FW,MF",Waasland-Bev,22,1998,4,0,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Jeremy Cijntje,2561,J. Cijntje,22,64,70,183,78,Right,65,FW,6,950000,2000,285,57,58,57,57,56,284,69,53,47,49,66,375,85,90,86,55,59,283,70,41,55,65,52,217,29,19,60,50,59,82,25,28,29,50,6,10,14,7,13,3,High,Medium,1,BelgianProLeague
be BEL,FW,Anderlecht,19,2001,7,1,171,1.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1300000.0,Antoine Colassin,2375,A. Colassin,19,65,76,180,73,Right,67,FW,11,1600000,4000,282,36,69,60,61,56,274,66,47,45,48,68,337,73,78,66,52,68,313,66,70,53,65,59,224,27,21,67,59,50,45,16,11,18,46,7,7,14,10,8,3,Medium,Medium,1,BelgianProLeague
ar ARG,"MF,FW",Sint-Truiden,20,2000,31,17,"1,524",16.9,2,3,5,2,0,0,5,0,0.12,0.18,0.3,0.12,0.3,,,,,,,,,,,,,1200000.0,Facundo Colidio,2024,F. Colidio,20,67,76,179,68,Right,70,FW,9,2300000,21000,333,57,72,69,70,65,303,70,54,55,52,72,341,70,66,69,63,73,292,63,66,58,39,66,252,34,19,66,67,66,58,21,21,16,52,6,9,13,12,12,3,High,Low,1,BelgianProLeague
be BEL,"MF,FW",Oostende,21,1999,22,15,"1,241",13.8,1,0,1,1,0,0,0,0,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,1500000.0,Robbie D'Haese,1889,R. D'Haese,21,68,75,180,64,Right,71,FW,7,2500000,5000,299,67,62,38,68,64,298,70,44,46,66,72,370,79,77,78,63,73,285,63,70,72,42,38,246,37,32,69,60,48,130,52,36,42,48,6,10,7,11,14,3,Medium,Medium,1,BelgianProLeague
be BEL,"FW,MF",Club Brugge,19,2001,32,20,"2,001",22.2,3,4,7,3,0,0,0,0,0.13,0.18,0.31,0.13,0.31,,,,,,,,,,,,,16000000.0,Charles De Ketelaere,1438,C. De Ketelaere,19,74,85,192,79,Left,76,FW,11,9000000,14000,366,73,73,71,77,72,365,75,71,68,72,79,340,67,75,72,71,55,348,70,61,76,72,69,319,57,59,73,72,58,177,64,59,54,49,11,8,14,8,8,4,High,High,1,BelgianProLeague
