Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
nl NED,GK,Fortuna Sittard,21,2002,1,1,90,1.0,0,0.0,3,3,100.0,0.0,1.0,0.0,1,100.0,0,0,0,0,,Netherlands,50000.0,Tom Hendriks,3407,T. Hendriks,21,59,70,186,76,Right,59,G,11,450000,1000,54,12,7,12,19,4,71,13,11,11,22,14,185,28,26,32,59,40,194,42,56,22,68,6,87,24,7,7,35,14,27,5,10,12,289,59,59,56,58,57,2,Medium,Medium,1
nl NED,GK,Volendam,23,1999,1,1,90,1.0,7,7.0,10,3,30.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,Netherlands,150000.0,Barry Lauwers,3259,B. Lauwers,23,60,65,187,76,Left,60,G,5,300000,900,65,13,9,13,22,8,66,6,12,11,18,19,149,18,15,29,53,34,168,46,44,19,51,8,75,22,8,5,24,16,30,6,14,10,302,57,58,61,64,62,3,Medium,Medium,1
nl NED,GK,AZ Alkmaar,19,2004,4,4,360,4.0,7,1.75,18,11,61.1,0.0,2.0,2.0,0,0.0,0,0,0,0,,Netherlands,900000.0,Rome-Jayden Owusu-Oduro,2414,R. Owusu-Oduro,18,65,81,188,82,Right,65,G,16,1600000,500,62,13,6,12,25,6,64,10,10,11,23,10,180,28,19,39,63,31,193,45,52,30,57,9,76,16,11,5,27,17,29,5,13,11,316,65,60,60,64,67,3,Medium,Medium,1
hr CRO,GK,Fortuna Sittard,23,2000,16,16,"1,440",16.0,28,1.75,77,51,66.2,5.0,4.0,7.0,4,25.0,2,2,0,0,0.0,Netherlands,2000000.0,Ivor Pandur,1447,I. Pandur,23,72,78,187,81,Right,72,G,6,3000000,8000,68,14,6,11,29,8,78,10,14,10,28,16,218,37,41,37,72,31,178,47,48,32,44,7,85,21,6,7,37,14,33,9,10,14,348,71,69,62,69,77,3,Medium,Medium,1
de GER,GK,Ajax,21,2001,22,20,"1,824",20.3,32,1.58,100,69,69.0,10.0,7.0,3.0,3,15.0,1,1,0,0,0.0,Netherlands,18000000.0,Diant Ramaj,1500,D. Ramaj,21,71,82,188,81,Right,71,G,11,3600000,5000,61,10,7,11,25,8,76,12,12,11,26,15,183,23,25,29,66,40,213,59,55,26,64,9,125,24,12,7,65,17,28,9,9,10,360,72,65,79,71,73,3,Medium,Medium,1
nl NED,GK,NEC Nijmegen,20,2003,5,4,420,4.7,5,1.07,19,14,73.7,1.0,2.0,1.0,1,25.0,0,0,0,0,,Netherlands,600000.0,Robin Roefs,2602,R. Roefs,20,64,78,192,72,Left,64,G,14,1200000,1000,60,11,5,14,21,9,64,10,10,14,14,16,156,17,19,31,64,25,178,47,43,23,60,5,86,24,7,6,33,16,34,8,13,13,316,62,65,62,61,66,3,Medium,Medium,1
nl NED,GK,Zwolle,22,2000,32,32,"2,880",32.0,64,2.0,178,123,68.0,9.0,8.0,15.0,5,15.6,9,7,2,0,22.2,Netherlands,1300000.0,Jasper Schendelaar,1855,J. Schendelaar,22,68,77,187,87,Right,68,G,9,2300000,3000,58,10,10,13,19,6,95,12,14,14,28,27,190,21,32,26,66,45,184,47,56,17,50,14,103,28,10,7,32,26,31,8,12,11,332,68,64,62,65,73,3,Medium,Medium,1
eng ENG,GK,Burnley,20,2002,28,28,"2,520",28.0,62,2.21,166,106,65.7,3.0,5.0,20.0,2,7.1,5,5,0,0,0.0,PremierLeague,18000000.0,James Trafford,495,J. Trafford,20,71,84,192,90,Right,71,G,13,4000000,14000,92,12,8,10,53,9,95,10,14,12,47,12,168,33,17,27,64,27,191,52,55,17,58,9,106,28,7,7,48,16,31,5,13,13,351,70,69,69,70,73,2,Medium,Medium,1
nl NED,GK,Brighton,20,2002,21,21,"1,890",21.0,28,1.33,91,63,72.5,7.0,8.0,6.0,4,19.0,3,3,0,0,0.0,PremierLeague,18000000.0,Bart Verbruggen,227,B. Verbruggen,20,75,85,194,89,Right,75,G,10,10500000,30000,74,10,8,15,35,6,89,15,11,15,30,18,284,57,55,52,75,45,232,55,72,26,72,7,99,17,19,4,38,21,43,12,17,14,369,77,71,73,68,80,3,Medium,Medium,1
br BRA,GK,Gil Vicente FC,22,2001,32,32,"2,880",32.0,46,1.44,137,98,70.1,9.0,8.0,15.0,8,25.0,7,5,2,0,28.6,PrimeiraLigaPortugal,3000000.0,Andrew,1326,Andrew,22,75,84,189,76,Right,75,G,9,11000000,7000,79,9,4,11,41,14,84,12,10,8,37,17,226,48,41,34,71,32,219,56,59,39,53,12,120,24,8,4,63,21,35,10,8,17,372,76,73,74,72,77,2,Medium,Medium,1
pt POR,GK,Porto,23,1999,33,33,"2,944",32.7,25,0.76,78,58,73.1,21.0,6.0,6.0,12,36.4,6,4,1,1,20.0,PrimeiraLigaPortugal,40000000.0,Diogo Costa,235,David Costa,22,75,80,168,64,Right,78,M,5,8500000,30000,321,76,70,42,75,58,368,82,75,66,66,79,395,78,74,86,72,85,296,74,51,56,40,75,273,48,32,71,74,48,101,36,30,35,43,6,8,9,10,10,4,High,Low,1
pt POR,GK,Boavista,22,2000,34,34,"3,060",34.0,62,1.82,170,112,65.9,7.0,11.0,16.0,3,8.8,6,4,0,2,0.0,PrimeiraLigaPortugal,700000.0,João Gonçalves,1662,João Gonçalves,22,70,78,188,80,Right,70,G,8,3100000,5000,54,10,7,13,18,6,55,8,10,11,16,10,178,28,29,22,67,32,183,49,52,20,54,8,83,24,12,5,30,12,28,8,10,10,342,68,68,65,71,70,2,Medium,Medium,1
uy URU,GK,Sporting CP,23,2000,10,10,900,10.0,7,0.7,23,16,69.6,9.0,1.0,0.0,2,20.0,0,0,0,0,,PrimeiraLigaPortugal,3500000.0,Franco Israel,1366,F. Israel,23,74,82,190,82,Right,74,G,8,8000000,7000,64,11,6,10,32,5,78,12,14,10,26,16,188,30,32,33,56,37,229,53,65,23,80,8,89,16,11,8,43,11,30,7,12,11,374,79,72,71,73,79,3,Medium,Medium,1
br BRA,GK,Famalicão,22,2001,33,33,"2,970",33.0,39,1.18,138,105,73.9,10.0,12.0,11.0,6,18.2,8,3,3,2,50.0,PrimeiraLigaPortugal,6000000.0,Luiz Lúcio Reis Júnior,1330,Luiz Júnior,22,75,83,194,88,Right,75,G,8,11000000,6000,60,13,9,13,19,6,81,10,13,14,26,18,187,29,31,31,71,25,213,51,63,22,72,5,110,24,14,8,50,14,28,6,10,12,366,75,72,68,75,76,3,Medium,Medium,1
br BRA,GK,Rio Ave,23,2000,7,7,630,7.0,12,1.71,32,21,65.6,1.0,2.0,4.0,1,14.3,1,1,0,0,0.0,PrimeiraLigaPortugal,300000.0,Magrão,2345,Magrão,23,66,74,197,87,Right,66,G,8,1600000,2000,61,10,8,12,22,9,77,15,12,12,21,17,168,26,21,36,62,23,200,47,57,17,69,10,85,24,13,6,27,15,35,10,12,13,325,66,64,62,64,69,2,Medium,Medium,1
pl POL,GK,Rio Ave,21,2001,1,1,90,1.0,1,1.0,10,9,90.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,PrimeiraLigaPortugal,400000.0,Cezary Miszta,2726,C. Miszta,21,64,73,192,80,Right,64,G,9,1100000,1000,61,14,5,13,24,5,65,14,13,12,15,11,185,29,42,34,51,29,180,47,49,27,52,5,100,23,12,7,47,11,29,5,11,13,321,66,63,63,64,65,2,Medium,Medium,1
pt POR,GK,Sporting CP,19,2004,2,2,171,1.9,0,0.0,1,1,100.0,2.0,0.0,0.0,1,50.0,0,0,0,0,,PrimeiraLigaPortugal,500000.0,Diogo Pinto,2732,Dinis Pinto,22,64,73,178,73,Right,64,D,9,1300000,3000,240,60,34,42,56,48,279,61,50,49,57,62,347,73,72,70,63,69,263,56,55,54,55,43,257,52,60,46,49,50,190,62,63,65,40,8,8,5,12,7,3,Medium,Medium,1
pt POR,GK,Chaves,23,2000,1,1,90,1.0,3,3.0,8,6,75.0,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0,PrimeiraLigaPortugal,100000.0,Gonçalo Pinto,3071,Gonçalo Pinto,23,62,68,194,90,Right,62,G,6,500000,1000,58,14,8,13,16,7,77,6,13,15,25,18,170,26,33,32,50,29,192,46,55,18,65,8,102,23,7,7,48,17,37,8,15,14,311,64,64,61,60,62,3,Medium,Medium,1
pt POR,GK,Sporting CP,17,2005,1,0,9,0.1,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,PrimeiraLigaPortugal,250000.0,Francisco Silva,2730,Felipe Silva,21,64,77,190,78,Left,66,D,13,1400000,2000,228,42,39,53,54,40,217,48,42,34,40,53,280,60,61,40,59,60,280,53,63,63,70,31,256,55,67,36,49,49,204,70,70,64,50,13,7,11,5,14,2,Low,Medium,1
pt POR,GK,Benfica,21,2002,5,5,450,5.0,3,0.6,11,9,81.8,4.0,1.0,0.0,2,40.0,1,1,0,0,0.0,PrimeiraLigaPortugal,3000000.0,Samuel Soares,1940,Samuel Soares,21,68,82,190,91,Right,68,G,14,2600000,3000,98,12,9,14,55,8,120,14,13,13,60,20,264,60,57,57,63,27,263,59,73,33,75,23,136,31,22,8,60,15,41,14,13,14,348,68,65,79,64,72,2,Medium,Medium,1
ua UKR,GK,Benfica,21,2001,28,28,"2,520",28.0,22,0.79,90,72,77.8,21.0,4.0,3.0,12,42.9,5,2,3,0,60.0,PrimeiraLigaPortugal,25000000.0,Anatolii Trubin,1282,A. Trubin,21,78,86,199,86,Right,78,G,8,27500000,8000,75,11,9,12,37,6,100,13,13,13,32,29,238,49,38,36,70,45,235,58,67,33,69,8,125,28,9,6,64,18,31,9,11,11,391,72,76,77,84,82,2,Medium,Medium,1
pt POR,GK,Arouca,23,2000,1,1,90,1.0,0,0.0,1,1,100.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,PrimeiraLigaPortugal,200000.0,João Valido,2540,João Valido,23,65,72,185,77,Right,65,G,7,1200000,1000,54,12,7,10,19,6,80,14,10,13,24,19,203,25,26,47,64,41,183,50,50,23,55,5,92,16,8,8,41,19,29,9,10,10,323,63,65,66,65,64,2,Medium,Medium,1
it ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0.0,1,1,100.0,0.0,0.0,0.0,0,,0,0,0,0,,SerieA,200000.0,Nicola Bagnolini,1244,N. Bagnolini,19,55,72,193,78,Right,55,G,17,300000,1000,65,9,8,9,32,7,81,11,9,15,28,18,186,31,38,32,44,41,204,45,54,30,67,8,90,22,9,9,32,18,31,7,12,12,278,52,57,60,53,56,1,Medium,Medium,1
it ITA,GK,Empoli,21,2001,23,23,"2,070",23.0,27,1.17,106,78,78.3,6.0,6.0,11.0,5,21.7,5,4,1,0,20.0,SerieA,6000000.0,Elia Caprile,336,E. Caprile,21,74,84,191,73,Right,74,G,10,8000000,19000,62,11,7,11,25,8,76,13,11,14,23,15,257,46,52,60,66,33,199,54,57,28,51,9,111,26,6,6,55,18,38,13,11,14,367,72,72,72,74,77,3,Medium,Medium,1
it ITA,GK,Atalanta,23,2000,27,27,"2,425",26.9,30,1.11,107,75,75.7,15.0,5.0,7.0,8,29.6,7,4,2,1,33.3,SerieA,16000000.0,Marco Carnesecchi,47,M. Carnesecchi,23,81,87,191,83,Right,81,G,6,33000000,37000,82,11,8,20,36,7,96,14,18,12,31,21,198,24,39,40,70,25,203,53,57,28,55,10,120,27,13,9,54,17,43,16,15,12,397,83,78,70,82,84,3,Medium,Medium,1
it ITA,GK,Torino,23,2000,2,2,180,2.0,5,2.5,9,4,55.6,0.0,0.0,2.0,0,0.0,1,1,0,0,0.0,SerieA,300000.0,Luca Gemello,831,L. Gemello,22,64,74,190,84,Right,64,G,10,1100000,6000,58,14,7,11,19,7,81,9,11,20,23,18,156,31,31,28,44,22,189,50,55,18,61,5,98,23,14,7,35,19,26,5,11,10,326,64,64,66,65,67,2,Medium,Medium,1
gr GRE,GK,Lazio,21,2001,9,8,721,8.0,6,0.75,29,23,79.3,6.0,1.0,1.0,4,50.0,0,0,0,0,,SerieA,3000000.0,Christos Mandas,749,C. Mandas,21,66,76,189,73,Right,66,G,10,1700000,6000,66,11,8,10,30,7,74,12,12,12,20,18,180,22,25,39,60,34,161,45,43,23,45,5,86,19,14,7,28,18,27,5,10,12,326,70,60,60,61,75,3,Medium,Medium,1
it ITA,GK,Fiorentina,17,2006,1,1,90,1.0,2,2.0,3,1,33.3,1.0,0.0,0.0,0,0.0,0,0,0,0,,SerieA,1000000.0,Tommaso Martinelli,1237,T. Martinelli,17,56,79,196,90,Right,56,G,23,400000,500,55,12,8,10,19,6,72,8,14,13,18,19,140,25,19,31,43,22,186,39,54,18,70,5,81,17,8,4,39,13,28,6,10,12,280,58,56,52,55,59,3,Medium,Medium,1
it ITA,GK,Milan,19,2004,1,0,3,0.0,1,30.0,2,1,50.0,0.0,0.0,0.0,0,,0,0,0,0,,SerieA,150000.0,Lapo Nava,1234,L. Nava,19,56,73,189,70,Right,56,G,17,325000,2000,65,13,6,13,24,9,66,6,13,13,21,13,165,20,17,27,47,54,162,42,44,19,51,6,89,21,10,7,35,16,33,5,14,14,281,58,50,56,62,55,2,Medium,Medium,1
ng NGA,GK,Udinese,23,1999,21,21,"1,890",21.0,25,1.19,89,65,75.3,5.0,8.0,8.0,5,23.8,3,3,0,0,0.0,SerieA,4000000.0,Maduka Okoye,525,M. Okoye,23,71,76,198,94,Right,71,G,5,2300000,7000,77,15,6,11,39,6,101,14,13,11,45,18,186,23,26,32,64,41,224,49,60,34,75,6,102,26,18,8,36,14,48,16,16,16,349,71,69,65,70,74,3,Medium,Medium,1
it ITA,GK,Bologna,23,1999,6,6,535,5.9,3,0.5,18,13,83.3,4.0,1.0,1.0,4,66.7,1,0,1,0,100.0,SerieA,1000000.0,Federico Ravaglia,711,F. Ravaglia,23,67,75,191,75,Right,67,G,8,2000000,6000,87,11,11,13,43,9,87,9,14,13,32,19,195,35,39,41,46,34,196,47,49,43,48,9,78,18,10,10,21,19,37,14,13,10,337,69,67,63,69,69,3,Medium,Medium,1
it ITA,GK,Monza,21,2002,7,5,548,6.1,16,2.63,32,16,62.5,0.0,1.0,4.0,0,0.0,4,4,0,0,0.0,SerieA,800000.0,Alessandro Sorrentino,885,A. Sorrentino,21,63,75,190,80,Right,63,G,12,1000000,4000,58,13,5,10,21,9,66,12,11,12,18,13,177,39,41,23,48,26,193,45,58,20,64,6,88,26,10,5,33,14,28,6,12,10,318,65,64,60,62,67,3,Medium,Medium,1
rs SRB,GK,Roma,23,1999,15,15,"1,350",15.0,19,1.27,77,58,76.6,7.0,4.0,4.0,5,33.3,2,1,1,0,50.0,SerieA,9000000.0,Mile Svilar,468,M. Svilar,23,72,77,189,77,Right,72,G,5,2800000,23000,112,18,14,22,42,16,141,26,23,22,42,28,305,60,55,66,70,54,231,50,70,32,61,18,137,28,13,9,50,37,53,12,23,18,354,72,69,67,71,75,3,Medium,Medium,1
it ITA,GK,Frosinone,21,2001,31,31,"2,745",30.5,58,1.9,152,94,65.1,6.0,9.0,16.0,4,12.9,7,5,1,1,16.7,SerieA,7000000.0,Stefano Turati,338,S. Turati,21,74,83,188,85,Right,74,G,9,8000000,8000,65,11,10,13,24,7,71,7,11,13,20,20,214,37,31,46,65,35,200,53,56,30,54,7,110,28,12,8,45,17,38,10,14,14,369,75,71,71,74,78,2,Medium,Medium,1
it ITA,GK,Brescia,23,2000,5,4,405,4.5,6,1.33,27,20,85.2,1.0,2.0,1.0,1,25.0,3,2,1,0,33.3,SerieB,250000.0,Michele Avella,3669,M. Avella,23,56,61,188,76,Left,56,G,5,170000,1000,67,13,8,13,25,8,70,13,13,12,18,14,159,32,16,27,49,35,153,42,39,21,43,8,93,26,10,7,34,16,35,8,12,15,278,58,57,56,49,58,2,Medium,Medium,1
it ITA,GK,Parma,22,2001,2,2,168,1.9,2,1.07,11,9,81.8,0.0,2.0,0.0,0,0.0,0,0,0,0,,SerieB,350000.0,Edoardo Corvi,3328,E. Corvi,22,60,70,187,70,Left,60,G,10,475000,550,76,13,8,11,35,9,95,7,13,18,41,16,193,25,26,38,55,49,180,46,47,24,54,9,94,28,6,9,39,12,37,7,17,13,300,63,61,61,56,59,1,Medium,Medium,1
it ITA,GK,Palermo,20,2003,2,2,180,2.0,2,1.0,6,4,66.7,1.0,1.0,0.0,1,50.0,0,0,0,0,,SerieB,1300000.0,Sebastiano Desplanches,1765,S. Desplanches,20,69,83,189,80,Left,69,G,14,2900000,1000,81,12,7,15,39,8,95,13,15,15,28,24,220,21,34,60,65,40,203,50,57,22,68,6,120,30,20,8,40,22,58,17,20,21,341,70,65,66,68,72,3,Medium,Medium,1
it ITA,GK,Südtirol,22,2001,1,1,90,1.0,1,1.0,4,3,75.0,0.0,0.0,1.0,0,0.0,0,0,0,0,,SerieB,250000.0,Giacomo Drago,3551,G. Drago,22,58,65,194,82,Right,58,G,7,350000,500,65,10,5,14,30,6,73,13,10,12,24,14,182,37,41,23,54,27,189,41,57,21,62,8,91,25,7,8,39,12,29,5,11,13,283,58,55,55,53,62,2,Medium,Medium,1
dk DEN,GK,Cremonese,21,2002,18,18,"1,620",18.0,13,0.72,62,49,80.6,11.0,3.0,4.0,10,55.6,1,1,0,0,0.0,SerieB,1500000.0,Andreas Jungdal,2692,A. Jungdal,21,64,75,195,82,Right,64,G,11,1100000,550,73,13,7,13,32,8,76,7,12,12,28,17,151,21,25,31,53,21,200,43,59,18,75,5,96,28,11,6,32,19,31,5,12,14,315,67,61,57,63,67,2,Medium,Medium,1
it ITA,GK,FeralpiSalò,21,2001,38,38,"3,420",38.0,65,1.71,167,102,65.9,8.0,9.0,21.0,4,10.5,9,8,1,0,11.1,SerieB,400000.0,Semuel Pizzignacco,2310,S. Pizzignacco,21,66,77,188,80,Right,66,G,11,1700000,650,121,30,11,20,45,15,159,25,31,25,42,36,217,36,31,42,60,48,216,50,61,20,65,20,117,25,14,8,35,35,47,12,20,15,330,68,64,66,62,70,3,Medium,Medium,1
it ITA,GK,Cremonese,23,2000,8,8,720,8.0,7,0.87,30,23,76.7,3.0,3.0,2.0,3,37.5,0,0,0,0,,SerieB,400000.0,Gianluca Saro,3549,G. Saro,23,58,66,187,86,Right,58,G,8,400000,500,62,11,6,13,26,6,59,8,13,11,15,12,132,18,26,22,44,22,186,46,48,27,58,7,88,28,7,6,29,18,29,6,10,13,295,59,64,61,52,59,3,Medium,Medium,1
it ITA,GK,Modena,22,2000,1,0,6,0.1,0,0.0,1,1,100.0,0.0,0.0,0.0,0,,0,0,0,0,,SerieB,25000.0,Filippo Vandelli,3765,F. Vandelli,22,53,61,190,78,Left,53,G,8,180000,500,57,15,6,13,16,7,65,8,10,12,24,11,155,31,33,34,32,25,184,40,54,19,63,8,88,27,8,8,27,18,31,8,12,11,269,56,57,53,48,55,1,Medium,Medium,1
it ITA,GK,Ternana,23,1999,6,6,540,6.0,6,1.0,30,24,83.3,3.0,1.0,2.0,3,50.0,1,1,0,0,0.0,SerieB,150000.0,Tommaso Vitali,3787,T. Vitali,23,51,55,186,77,Right,51,G,4,70000,500,59,11,7,14,19,8,70,6,13,13,26,12,166,32,28,24,51,31,162,43,38,29,44,8,91,28,11,5,35,12,33,8,12,13,253,46,51,57,50,49,1,Medium,Medium,1
