Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Daam Foulon,be BEL,"DF,MF",Waasland-Bev,21,1999,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Brent Gabriël,be BEL,GK,Waasland-Bev,21,1999,2.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Alexis Gamboa,cr CRC,DF,Waasland-Bev,21,1999,7.4,,19,,,,,,,,,,,16,,,,BelgianProLeague
Jérémy Gélin,fr FRA,DF,Antwerp,23,1997,9.1,,10,,,,,,,,,,,24,,,,BelgianProLeague
Anderson Gniangbo,ci CIV,"FW,MF",Gent,20,1999,9.6,,6,,,,,,,,,,,6,,,,BelgianProLeague
Alimani Gory,ml MLI,"FW,MF",Cercle Brugge,23,1996,0.4,,0,,,,,,,,,,,0,,,,BelgianProLeague
El Hadji Arfang Gueye,sn SEN,DF,Excel Mouscron,20,1999,1.5,,3,,,,,,,,,,,2,,,,BelgianProLeague
Makhtar Gueye,sn SEN,FW,Oostende,22,1997,24.4,,7,,,,,,,,,,,5,,,,BelgianProLeague
Pape Habib Guèye,sn SEN,FW,Kortrijk,20,1999,19.6,,8,,,,,,,,,,,6,,,,BelgianProLeague
Anouar Ait El Hadj,be BEL,"MF,FW",Anderlecht,18,2002,15.6,,11,,,,,,,,,,,5,,,,BelgianProLeague
Luqman Hakim,my MAS,FW,Kortrijk,18,2002,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Réda Halaïmia,dz ALG,"MF,DF",Beerschot,23,1996,8.2,,13,,,,,,,,,,,5,,,,BelgianProLeague
Andreas Hanche-Olsen,no NOR,DF,Gent,23,1997,24.3,,26,,,,,,,,,,,34,,,,BelgianProLeague
Daiki Hashioka,jp JPN,"DF,MF",Sint-Truiden,21,1999,5.3,,6,,,,,,,,,,,12,,,,BelgianProLeague
Daan Heymans,be BEL,"MF,FW",Waasland-Bev,21,1999,23.8,,11,,,,,,,,,,,15,,,,BelgianProLeague
Bryan Heynen,be BEL,MF,Genk,23,1997,21.3,,38,,,,,,,,,,,29,,,,BelgianProLeague
Martin Hongla,cm CMR,MF,Antwerp,22,1998,25.1,,26,,,,,,,,,,,24,,,,BelgianProLeague
Cameron Humphreys,eng ENG,DF,Zulte Waregem,21,1998,24.9,,32,,,,,,,,,,,38,,,,BelgianProLeague
Marko Ilić,rs SRB,GK,Kortrijk,22,1998,22.0,,1,,,,,,,,,,,0,,,,BelgianProLeague
Tatsuya Ito,jp JPN,"FW,MF",Sint-Truiden,23,1997,1.4,,1,,,,,,,,,,,1,,,,BelgianProLeague
Daniel Iversen,dk DEN,GK,OH Leuven,23,1997,4.5,,0,,,,,,,,,,,1,,,,BelgianProLeague
Nordin Jackers,be BEL,GK,Waasland-Bev,22,1997,28.0,,1,,,,,,,,,,,1,,,,BelgianProLeague
