Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Jack Burroughs,sct SCO,DF,Coventry City,19,2001,2,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Josef Bursik,eng ENG,GK,Stoke City,20,2000,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daniel Butterworth,eng ENG,FW,Blackburn,20,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25
Ben Cabango,wls WAL,DF,Swansea City,20,2000,30,28,"2,537",28.2,4,2,6,4,0,0,4,0,4.2,4.2,1.1,5.2,8,90,4,0.14,0.07,0.21,0.14,0.21,0.15,0.04,0.19,0.15,0.19
Mamadi Camará,gw GNB,MF,Reading,16,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyrese Campbell,eng ENG,"FW,MF",Stoke City,20,1999,16,13,"1,087",12.1,6,5,11,6,0,0,1,0,2.7,2.7,2.2,4.9,35,18,104,0.50,0.41,0.91,0.50,0.91,0.22,0.18,0.40,0.22,0.40
Sergi Canós,es ESP,"FW,DF",Brentford,23,1997,46,33,"2,872",31.9,9,8,17,9,0,0,5,0,7.5,7.5,5.8,13.3,103,121,250,0.28,0.25,0.53,0.28,0.53,0.24,0.18,0.42,0.24,0.42
Todd Cantwell,eng ENG,FW,Norwich City,22,1998,33,30,"2,611",29.0,6,6,12,6,0,0,4,0,4.9,4.9,5.5,10.4,75,178,180,0.21,0.21,0.41,0.21,0.41,0.17,0.19,0.36,0.17,0.36
Hayden Carter,eng ENG,DF,Blackburn,20,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cameron Carter-Vickers,us USA,DF,Bournemouth,22,1997,21,21,"1,845",20.5,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,9,39,1,0.05,0.00,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04
