Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Tim Breithaupt,de GER,MF,Karlsruher,18,2002,6,5,402,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Svend Brodersen,de GER,GK,St. Pauli,23,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Leon Bürger,de GER,MF,Braunschweig,20,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dženis Burnić,ba BIH,"MF,FW",Heidenheim,22,1998,12,9,649,7.2,0,1,1,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14
Kaan Caliskaner,de GER,"FW,MF",Jahn R'burg,20,1999,32,20,"1,694",18.8,1,2,3,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16
Dirk Carlson,lu LUX,DF,Karlsruher,22,1998,8,1,183,2.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Marijan Ćavar,ba BIH,MF,Greuther Fürth,22,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kevin Danso,at AUT,DF,Düsseldorf,21,1998,32,31,"2,819",31.3,2,1,3,2,0,0,6,1,0.06,0.03,0.10,0.06,0.10
Lukas Daschner,de GER,MF,St. Pauli,21,1998,24,2,583,6.5,0,2,2,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31
Jonas David,de GER,DF,Hamburger SV,20,2000,3,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lars Dietz,de GER,"DF,MF",W'burg Kickers,23,1997,20,17,"1,483",16.5,4,1,5,4,0,0,4,0,0.24,0.06,0.30,0.24,0.30
Marlon Dinger,de GER,MF,Karlsruher,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Johannes Dörfler,de GER,DF,Paderborn 07,23,1996,27,22,"2,014",22.4,1,3,4,1,0,0,5,0,0.04,0.13,0.18,0.04,0.18
Moussa Doumbouya,gn GUI,FW,Hannover 96,22,1998,7,0,160,1.8,1,1,2,1,0,0,0,0,0.56,0.56,1.13,0.56,1.13
Rick van Drongelen,nl NED,DF,Hamburger SV,21,1998,4,2,217,2.4,0,1,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41
Jan Elvedi,ch SUI,DF,Jahn R'burg,23,1996,29,29,"2,610",29.0,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03
Antony Evans,eng ENG,"FW,MF",Paderborn 07,21,1998,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Franck Evina,cm CMR,FW,Hannover 96,20,2000,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Simon Fabio Stehle,de GER,FW,Hannover 96,18,2001,3,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leon Flach,us USA,MF,St. Pauli,19,2001,9,0,120,1.3,1,0,1,1,0,0,0,0,0.75,0.00,0.75,0.75,0.75
Chris Führich,de GER,"MF,FW",Paderborn 07,22,1998,34,30,"2,372",26.4,13,2,15,12,1,1,2,0,0.49,0.08,0.57,0.46,0.53
McKinze Gaines,us USA,"FW,MF",Hannover 96,22,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dejan Galjen,de GER,FW,Karlsruher,18,2002,2,0,35,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Benedikt Gimber,de GER,"MF,DF",Jahn R'burg,23,1997,22,22,"1,928",21.4,0,0,0,0,0,0,9,2,0.00,0.00,0.00,0.00,0.00
Benjamin Goller,de GER,MF,Karlsruher,21,1999,27,18,"1,627",18.1,4,2,6,4,0,0,2,0,0.22,0.11,0.33,0.22,0.33
Alexander Groiß,de GER,MF,Karlsruher,22,1998,10,3,235,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Jay-Roy Grot,nl NED,FW,Osnabrück,22,1998,4,0,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mick Gudra,de GER,FW,Hannover 96,19,2001,4,0,41,0.5,1,0,1,1,0,0,1,0,2.20,0.00,2.20,2.20,2.20
Robin Hack,de GER,"MF,FW",Nürnberg,21,1998,23,19,"1,550",17.2,4,4,8,4,0,0,3,0,0.23,0.23,0.46,0.23,0.46
Tim Handwerker,de GER,DF,Nürnberg,22,1998,34,34,"3,059",34.0,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03
Janis Hanek,de GER,MF,Karlsruher,21,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sascha Härtel,de GER,DF,Erzgebirge Aue,21,1999,5,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luis Hartwig,de GER,FW,Bochum,17,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ogechika Heil,de GER,MF,Hamburger SV,19,2000,6,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Florian Heister,de GER,DF,Jahn R'burg,23,1997,10,2,293,3.3,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31
Luke Hemmerich,de GER,MF,W'burg Kickers,22,1998,3,1,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Niklas Hoffmann,de GER,MF,W'burg Kickers,23,1997,6,2,222,2.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,23,1996,27,19,"1,565",17.4,4,5,9,4,0,0,1,0,0.23,0.29,0.52,0.23,0.52
Luc Ihorst,de GER,"FW,MF",Osnabrück,20,2000,18,8,820,9.1,2,0,2,2,0,0,0,1,0.22,0.00,0.22,0.22,0.22
Svante Ingelsson,se SWE,MF,Paderborn 07,22,1998,32,14,"1,439",16.0,0,3,3,0,0,0,6,0,0.00,0.19,0.19,0.00,0.19
Thomas Isherwood,se SWE,DF,Darmstadt 98,22,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gian-Luca Itter,de GER,DF,Greuther Fürth,21,1999,8,4,369,4.1,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24
Emmanuel Iyoha,de GER,MF,Düsseldorf,22,1997,7,1,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Paul Jaeckel,de GER,DF,Greuther Fürth,22,1998,23,22,"1,843",20.5,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05
Dennis Jastrzembski,pl POL,"FW,MF",Paderborn 07,20,2000,3,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bakery Jatta,gm GAM,"MF,FW",Hamburger SV,22,1998,27,17,"1,310",14.6,5,4,9,5,0,0,1,0,0.34,0.27,0.62,0.34,0.62
Niklas Jeck,de GER,MF,Erzgebirge Aue,18,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
