Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Lenny Pintor,fr FRA,"FW,MF",Troyes,19,2000,12,5,523,5.8,3,0,3,3,0,0,1,0,0.52,0.00,0.52,0.52,0.52
Rui Pires,pt POR,"MF,DF",Troyes,22,1998,19,3,400,4.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Tommy Plumain,fr FRA,GK,Châteauroux,19,2001,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Morgan Poaty,cg CGO,DF,Guingamp,23,1997,10,8,678,7.5,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13
Julien Ponceau,fr FRA,MF,Rodez Aveyron,19,2000,16,6,623,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maxence Prevot,fr FRA,GK,Sochaux,23,1997,36,36,"3,240",36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lorenzo Rajot,fr FRA,MF,Clermont Foot,22,1997,19,2,425,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rayan Raveloson,mg MAD,"MF,DF",Troyes,23,1997,35,34,"2,907",32.3,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09
Samuel Renel,mq MTQ,MF,Niort,18,2001,3,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maxence Renoud,fr FRA,FW,Grenoble,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Amir Richardson,ma MAR,MF,Le Havre,18,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kenny Rocha Santos,cv CPV,MF,Nancy,20,2000,35,31,"2,502",27.8,6,9,15,4,2,2,2,1,0.22,0.32,0.54,0.14,0.47
Yohan Roche,bj BEN,DF,Rodez Aveyron,23,1997,13,11,975,10.8,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09
Anthony Rouault,fr FRA,DF,Toulouse,19,2001,15,13,"1,122",12.5,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00
Baptiste Roux,fr FRA,MF,Guingamp,20,1999,19,13,"1,188",13.2,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08
Scotty Sadzoute,fr FRA,"DF,MF",Pau FC,22,1998,35,32,"2,893",32.1,0,3,3,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
Kelian Nsona Wa Saka,fr FRA,"MF,FW",Caen,18,2002,30,21,"1,808",20.1,2,0,2,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10
Arouna Sangante,sn SEN,DF,Le Havre,18,2002,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ibrahim Sangaré,ci CIV,MF,Toulouse,22,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mustapha Sangaré,sn SEN,FW,Amiens,21,1998,3,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sam Sanna,fr FRA,"MF,DF",Toulouse,21,1999,20,14,"1,182",13.1,0,2,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15
Romain Sans,fr FRA,DF,Sochaux,21,1999,8,6,580,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
