Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Iago,br BRA,DF,Augsburg,23,1997,18,18,"1,560",17.3,1,1,2,1,0,0,2,0,1.1,1.1,1.1,2.1,39,37,67,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12
Blendi Idrizi,xk KVX,MF,Schalke 04,22,1998,3,3,238,2.6,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,6,5,2,0.38,0.00,0.38,0.38,0.38,0.08,0.13,0.21,0.08,0.21
Abass Issah,gh GHA,"DF,FW",Mainz 05,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ismail Jakobs,sn SEN,"MF,FW",Köln,20,1999,23,18,"1,726",19.2,1,1,2,1,0,0,6,0,2.4,2.4,1.9,4.3,34,34,134,0.05,0.05,0.10,0.05,0.10,0.13,0.10,0.23,0.13,0.23
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,22,1997,13,1,377,4.2,0,1,1,0,0,0,0,0,0.3,0.3,1.2,1.5,4,11,26,0.00,0.24,0.24,0.00,0.24,0.07,0.28,0.35,0.07,0.35
Marco John,de GER,DF,Hoffenheim,18,2002,14,12,997,11.1,0,0,0,0,0,0,1,0,0.1,0.1,2.0,2.1,21,47,63,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19
Luka Jović,rs SRB,FW,Eint Frankfurt,22,1997,18,8,894,9.9,4,1,5,4,0,0,2,0,2.9,2.9,0.7,3.6,15,37,62,0.40,0.10,0.50,0.40,0.50,0.29,0.07,0.36,0.29,0.36
Ozan Kabak,tr TUR,DF,Schalke 04,20,2000,14,14,"1,243",13.8,0,0,0,0,0,0,6,1,1.0,1.0,0.3,1.3,9,54,1,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.10,0.07,0.10
Sasa Kalajdzic,at AUT,FW,Stuttgart,23,1997,33,23,"2,136",23.7,16,5,21,16,0,0,1,0,10.4,10.4,3.7,14.0,18,46,166,0.67,0.21,0.88,0.67,0.88,0.44,0.15,0.59,0.44,0.59
Daichi Kamada,jp JPN,MF,Eint Frankfurt,23,1996,32,28,"2,356",26.2,5,12,17,5,0,0,3,0,5.6,5.6,7.5,13.1,63,124,210,0.19,0.46,0.65,0.19,0.65,0.21,0.29,0.50,0.21,0.50
Jimmy Kaparos,de GER,MF,Schalke 04,18,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Atakan Karazor,,"DF,MF",Stuttgart,23,1996,19,10,"1,037",11.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,4,33,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Silas Katompa,cd COD,"DF,FW",Stuttgart,21,1998,25,24,"1,919",21.3,11,4,15,8,3,3,6,0,7.3,5.0,4.4,9.4,74,33,165,0.52,0.19,0.70,0.38,0.56,0.34,0.21,0.55,0.23,0.44
Noah Katterbach,de GER,"DF,MF",Köln,19,2001,21,12,"1,111",12.3,0,0,0,0,0,0,1,0,0.3,0.3,1.1,1.4,27,60,47,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11
