Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Weston McKennie,us USA,MF,Juventus,22,1998,15.2,20.0,11,11.0,7.0,2.0,8.0,26.0,30.8,18.0,17.0,8.0,9.0,23,43.0,20.0,0.0,SerieA,2021-2022
Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,10.9,20.0,12,5.0,8.0,7.0,8.0,16.0,50.0,8.0,10.0,1.0,9.0,11,31.0,8.0,1.0,SerieA,2021-2022
Kingsley Michael,ng NGA,MF,Bologna,21,1999,0.8,4.0,1,2.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,1.0,1,5.0,1.0,1.0,SerieA,2021-2022
Valentin Mihaila,ro ROU,"MF,FW",Atalanta,21,2000,0.8,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,0.0,0.0,SerieA,2021-2022
Mikael,br BRA,"FW,MF",Salernitana,22,1999,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,SerieA,2021-2022
Hilmir Mikaelsson,is ISL,FW,Venezia,17,2004,0.2,2.0,0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,SerieA,2021-2022
Nikola Milenković,rs SRB,DF,Fiorentina,23,1997,32.5,54.0,32,31.0,20.0,3.0,29.0,34.0,85.3,5.0,30.0,15.0,15.0,39,93.0,94.0,0.0,SerieA,2021-2022
Fabio Miretti,it ITA,MF,Juventus,17,2003,3.6,4.0,2,2.0,2.0,0.0,2.0,9.0,22.2,7.0,3.0,1.0,2.0,2,6.0,3.0,0.0,SerieA,2021-2022
Nahuel Molina,ar ARG,DF,Udinese,23,1998,29.3,41.0,24,17.0,21.0,3.0,16.0,48.0,33.3,32.0,24.0,3.0,21.0,22,63.0,44.0,2.0,SerieA,2021-2022
Raúl Moro,es ESP,FW,Lazio,18,2002,2.2,3.0,3,0.0,2.0,1.0,1.0,5.0,20.0,4.0,2.0,0.0,2.0,0,3.0,0.0,0.0,SerieA,2021-2022
Andrei Motoc,md MDA,DF,Salernitana,19,2002,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2,3.0,1.0,0.0,SerieA,2021-2022
Mert Müldür,tr TUR,DF,Sassuolo,22,1999,22.7,52.0,35,43.0,7.0,2.0,27.0,49.0,55.1,22.0,25.0,6.0,19.0,24,76.0,44.0,1.0,SerieA,2021-2022
Aurélien Nguiamba,fr FRA,MF,Spezia,22,1999,0.6,3.0,2,1.0,2.0,0.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,0,3.0,1.0,0.0,SerieA,2021-2022
Dimitris Nikolaou,gr GRE,DF,Spezia,22,1998,36.0,39.0,26,29.0,7.0,3.0,22.0,34.0,64.7,12.0,48.0,24.0,24.0,49,88.0,132.0,1.0,SerieA,2021-2022
Adam Obert,sk SVK,"DF,MF",Cagliari,18,2002,3.0,8.0,5,6.0,2.0,0.0,5.0,6.0,83.3,1.0,6.0,4.0,2.0,4,12.0,11.0,0.0,SerieA,2021-2022
Brian Oddei,it ITA,FW,Sassuolo,18,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
David Okereke,ng NGA,"FW,MF",Venezia,23,1997,22.8,16.0,10,4.0,9.0,3.0,3.0,20.0,15.0,17.0,19.0,3.0,16.0,10,26.0,20.0,0.0,SerieA,2021-2022
Victor Osimhen,ng NGA,FW,Napoli,22,1998,22.0,10.0,5,1.0,2.0,7.0,2.0,6.0,33.3,4.0,16.0,3.0,13.0,3,13.0,17.0,0.0,SerieA,2021-2022
Simone Pafundi,it ITA,FW,Udinese,15,2006,0.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Martin Palumbo,no NOR,FW,Juventus,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Ivor Pandur,hr CRO,GK,Hellas Verona,21,2000,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,SerieA,2021-2022
Fabiano Parisi,it ITA,DF,Empoli,20,2000,16.4,35.0,19,25.0,5.0,5.0,13.0,31.0,41.9,18.0,30.0,10.0,20.0,22,57.0,42.0,0.0,SerieA,2021-2022
Pietro Pellegri,it ITA,FW,Torino,20,2001,2.4,1.0,1,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0,1.0,5.0,0.0,SerieA,2021-2022
Pietro Pellegri,it ITA,FW,Milan,20,2001,1.5,2.0,2,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,2.0,1.0,0.0,SerieA,2021-2022
Luca Pellegrini,it ITA,DF,Juventus,22,1999,12.3,23.0,10,13.0,5.0,5.0,12.0,19.0,63.2,7.0,9.0,1.0,8.0,5,28.0,23.0,0.0,SerieA,2021-2022
Carles Pérez,es ESP,"MF,FW",Roma,23,1998,6.2,8.0,3,3.0,1.0,4.0,3.0,12.0,25.0,9.0,10.0,0.0,10.0,2,10.0,2.0,0.0,SerieA,2021-2022
Nehuén Pérez,ar ARG,DF,Udinese,21,2000,18.8,44.0,21,21.0,21.0,2.0,16.0,25.0,64.0,9.0,27.0,9.0,18.0,21,65.0,47.0,0.0,SerieA,2021-2022
Mario Perrone,it ITA,DF,Salernitana,18,2003,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Giuseppe Pezzella,it ITA,"DF,MF",Atalanta,23,1997,11.9,28.0,13,15.0,7.0,6.0,8.0,18.0,44.4,10.0,13.0,5.0,8.0,9,37.0,16.0,0.0,SerieA,2021-2022
Roberto Piccoli,it ITA,FW,Genoa,20,2001,2.4,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,2.0,1.0,1.0,SerieA,2021-2022
Roberto Piccoli,it ITA,FW,Atalanta,20,2001,2.2,2.0,0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,2.0,0.0,0.0,SerieA,2021-2022
Andrea Pinamonti,it ITA,FW,Empoli,22,1999,31.9,11.0,6,0.0,7.0,4.0,2.0,18.0,11.1,16.0,24.0,3.0,21.0,7,18.0,23.0,0.0,SerieA,2021-2022
Riccardo Pinzi,it ITA,FW,Udinese,17,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Tommaso Pobega,it ITA,MF,Torino,22,1999,24.9,48.0,30,17.0,20.0,11.0,21.0,40.0,52.5,19.0,32.0,3.0,29.0,25,73.0,38.0,0.0,SerieA,2021-2022
Suf Podgoreanu,il ISR,FW,Spezia,19,2002,1.3,2.0,0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,1,3.0,3.0,0.0,SerieA,2021-2022
Manolo Portanova,it ITA,"FW,MF",Genoa,21,2000,14.7,46.0,28,9.0,26.0,11.0,14.0,34.0,41.2,20.0,26.0,2.0,24.0,17,63.0,22.0,0.0,SerieA,2021-2022
Mateusz Praszelik,pl POL,MF,Hellas Verona,20,2000,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Niklas Pyyhtiä,fi FIN,MF,Bologna,17,2003,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Antonio Raimondo,it ITA,FW,Bologna,17,2004,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,SerieA,2021-2022
Luca Ranieri,it ITA,DF,Salernitana,22,1999,23.4,38.0,21,23.0,11.0,4.0,19.0,33.0,57.6,14.0,18.0,8.0,10.0,22,60.0,67.0,0.0,SerieA,2021-2022
Giacomo Raspadori,it ITA,"MF,FW",Sassuolo,21,2000,30.4,29.0,18,5.0,15.0,9.0,11.0,38.0,28.9,27.0,29.0,3.0,26.0,9,38.0,11.0,0.0,SerieA,2021-2022
Panagiotis Retsos,gr GRE,DF,Hellas Verona,22,1998,0.6,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2,2.0,3.0,0.0,SerieA,2021-2022
Bryan Reynolds,us USA,DF,Roma,20,2001,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2021-2022
Samuele Ricci,it ITA,MF,Torino,19,2001,8.0,8.0,4,4.0,2.0,2.0,2.0,5.0,40.0,3.0,7.0,1.0,6.0,14,22.0,9.0,0.0,SerieA,2021-2022
Samuele Ricci,it ITA,MF,Empoli,19,2001,17.0,33.0,19,17.0,13.0,3.0,20.0,34.0,58.8,14.0,24.0,5.0,19.0,31,64.0,18.0,0.0,SerieA,2021-2022
Rogério,br BRA,DF,Sassuolo,23,1998,19.2,21.0,13,12.0,5.0,4.0,15.0,22.0,68.2,7.0,20.0,8.0,12.0,18,39.0,42.0,1.0,SerieA,2021-2022
Luka Romero,ar ARG,FW,Lazio,16,2004,0.9,2.0,1,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,3.0,0.0,0.0,SerieA,2021-2022
Nicolò Rovella,it ITA,MF,Genoa,19,2001,16.3,37.0,26,16.0,14.0,7.0,15.0,40.0,37.5,25.0,21.0,1.0,20.0,20,57.0,20.0,0.0,SerieA,2021-2022
Ruan,br BRA,DF,Sassuolo,22,1999,2.4,7.0,4,7.0,0.0,0.0,3.0,4.0,75.0,1.0,6.0,5.0,1.0,2,9.0,24.0,1.0,SerieA,2021-2022
Matteo Ruggeri,it ITA,DF,Salernitana,19,2002,7.5,8.0,4,5.0,2.0,1.0,7.0,10.0,70.0,3.0,6.0,1.0,5.0,2,10.0,25.0,0.0,SerieA,2021-2022
Alessandro Russo,it ITA,MF,Salernitana,17,2003,0.3,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,SerieA,2021-2022
Alexis Saelemaekers,be BEL,FW,Milan,22,1999,20.7,43.0,22,12.0,17.0,14.0,15.0,51.0,29.4,36.0,19.0,0.0,19.0,15,58.0,8.0,0.0,SerieA,2021-2022
Eddie Salcedo,it ITA,"MF,FW",Spezia,19,2001,4.8,1.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,1.0,7.0,1.0,SerieA,2021-2022
Lazar Samardzic,rs SRB,"MF,FW",Udinese,19,2002,5.4,13.0,9,4.0,7.0,2.0,7.0,26.0,26.9,19.0,6.0,0.0,6.0,2,15.0,2.0,0.0,SerieA,2021-2022
Luigi Samele,it ITA,FW,Sassuolo,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2021-2022
Giacomo Satalino,it ITA,GK,Sassuolo,22,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Martin Satriano,uy URU,"FW,MF",Inter,20,2001,0.4,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2021-2022
Giorgio Scalvini,it ITA,"DF,MF",Atalanta,17,2003,8.5,22.0,11,13.0,8.0,1.0,9.0,19.0,47.4,10.0,12.0,1.0,11.0,22,44.0,16.0,0.0,SerieA,2021-2022
Gianluca Scamacca,it ITA,FW,Sassuolo,22,1999,23.8,19.0,14,2.0,5.0,12.0,5.0,21.0,23.8,16.0,16.0,1.0,15.0,5,24.0,22.0,1.0,SerieA,2021-2022
David Schnegg,at AUT,DF,Venezia,22,1998,1.6,2.0,0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,4.0,0.0,4.0,3,5.0,6.0,0.0,SerieA,2021-2022
Demba Seck,sn SEN,"MF,FW",Torino,20,2001,1.6,2.0,1,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,SerieA,2021-2022
Adrian Šemper,hr CRO,GK,Genoa,23,1998,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Laurens Serpe,it ITA,DF,Genoa,20,2001,0.5,1.0,0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,SerieA,2021-2022
Aimar Sher,se SWE,MF,Spezia,18,2002,0.5,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3,5.0,1.0,0.0,SerieA,2021-2022
Alassane Sidibe,ci CIV,MF,Atalanta,19,2002,0.1,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2021-2022
Arnór Sigurðsson,is ISL,"FW,MF",Venezia,22,1999,2.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1,2.0,0.0,0.0,SerieA,2021-2022
Wilfried Singo,ci CIV,DF,Torino,20,2000,29.0,55.0,35,24.0,24.0,7.0,24.0,34.0,70.6,10.0,26.0,6.0,20.0,23,78.0,47.0,0.0,SerieA,2021-2022
Leo Skiri Østigård,no NOR,DF,Genoa,21,1999,13.0,16.0,9,8.0,7.0,1.0,9.0,11.0,81.8,2.0,17.0,10.0,7.0,8,24.0,55.0,1.0,SerieA,2021-2022
Andreas Skov Olsen,dk DEN,"FW,DF",Bologna,21,1999,8.3,12.0,10,4.0,4.0,4.0,5.0,11.0,45.5,6.0,9.0,1.0,8.0,3,15.0,11.0,0.0,SerieA,2021-2022
Brandon Soppy,fr FRA,"DF,MF",Udinese,19,2002,8.6,20.0,9,8.0,10.0,2.0,11.0,16.0,68.8,5.0,10.0,2.0,8.0,5,25.0,9.0,1.0,SerieA,2021-2022
Riccardo Sottil,it ITA,FW,Fiorentina,22,1999,13.8,9.0,4,4.0,4.0,1.0,3.0,9.0,33.3,6.0,3.0,0.0,3.0,1,10.0,2.0,0.0,SerieA,2021-2022
Matìas Soulé,ar ARG,FW,Juventus,18,2003,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Luca Stanga,it ITA,DF,Milan,19,2002,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2021-2022
Riccardo Stivanello,it ITA,DF,Bologna,17,2004,0.5,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,0,1.0,6.0,0.0,SerieA,2021-2022
Dávid Strelec,sk SVK,"FW,MF",Spezia,20,2001,5.6,4.0,4,1.0,2.0,1.0,2.0,9.0,22.2,7.0,8.0,1.0,7.0,2,6.0,1.0,0.0,SerieA,2021-2022
Vladyslav Supriaha,ua UKR,FW,Sampdoria,21,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Bosko Sutalo,hr CRO,DF,Hellas Verona,21,2000,10.2,20.0,13,11.0,6.0,3.0,8.0,16.0,50.0,8.0,10.0,5.0,5.0,17,37.0,39.0,0.0,SerieA,2021-2022
Mattias Svanberg,se SWE,MF,Bologna,22,1999,28.5,39.0,15,15.0,16.0,8.0,16.0,54.0,29.6,38.0,31.0,9.0,22.0,28,67.0,34.0,0.0,SerieA,2021-2022
Michael Svoboda,at AUT,DF,Venezia,22,1998,13.7,33.0,17,26.0,6.0,1.0,18.0,32.0,56.3,14.0,27.0,15.0,12.0,10,43.0,61.0,5.0,SerieA,2021-2022
Filippo Terracciano,it ITA,DF,Hellas Verona,18,2003,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2021-2022
Aleksa Terzić,rs SRB,DF,Fiorentina,21,1999,3.0,8.0,5,3.0,3.0,2.0,4.0,7.0,57.1,3.0,7.0,0.0,7.0,4,12.0,5.0,0.0,SerieA,2021-2022
Tanner Tessmann,us USA,MF,Venezia,19,2001,7.6,11.0,5,4.0,6.0,1.0,5.0,14.0,35.7,9.0,19.0,9.0,10.0,5,16.0,22.0,0.0,SerieA,2021-2022
Arthur Theate,be BEL,DF,Bologna,21,2000,26.9,33.0,19,26.0,3.0,4.0,14.0,31.0,45.2,17.0,29.0,16.0,13.0,42,75.0,69.0,0.0,SerieA,2021-2022
Takehiro Tomiyasu,jp JPN,DF,Bologna,22,1998,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,SerieA,2021-2022
Fikayo Tomori,eng ENG,DF,Milan,23,1997,30.2,73.0,44,36.0,34.0,3.0,18.0,26.0,69.2,8.0,37.0,23.0,14.0,45,118.0,84.0,1.0,SerieA,2021-2022
Sandro Tonali,it ITA,MF,Milan,21,2000,28.9,54.0,37,23.0,25.0,6.0,21.0,41.0,51.2,20.0,26.0,8.0,18.0,34,88.0,19.0,0.0,SerieA,2021-2022
Simone Trimboli,it ITA,MF,Sampdoria,19,2002,0.7,2.0,1,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2,4.0,0.0,0.0,SerieA,2021-2022
Axel Tuanzebe,cd COD,DF,Napoli,23,1997,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,SerieA,2021-2022
Destiny Udogie,it ITA,DF,Udinese,18,2002,27.5,64.0,40,30.0,27.0,7.0,33.0,60.0,55.0,27.0,39.0,6.0,33.0,27,91.0,42.0,0.0,SerieA,2021-2022
Kacper Urbanski,pl POL,MF,Bologna,16,2004,0.5,3.0,2,1.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,0,3.0,0.0,0.0,SerieA,2021-2022
Zinho Vanheusden,be BEL,DF,Genoa,22,1999,11.0,18.0,6,12.0,5.0,1.0,8.0,14.0,57.1,6.0,19.0,14.0,5.0,23,41.0,42.0,0.0,SerieA,2021-2022
Johan Vásquez,mx MEX,DF,Genoa,22,1998,25.3,79.0,46,44.0,32.0,3.0,48.0,75.0,64.0,27.0,32.0,10.0,22.0,42,121.0,85.0,0.0,SerieA,2021-2022
Edoardo Vergani,it ITA,"FW,MF",Salernitana,20,2001,1.1,2.0,2,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0,2.0,2.0,0.0,SerieA,2021-2022
Ronaldo Vieira,eng ENG,MF,Sampdoria,23,1998,5.5,10.0,6,6.0,4.0,0.0,5.0,10.0,50.0,5.0,5.0,2.0,3.0,6,16.0,5.0,1.0,SerieA,2021-2022
Emanuel Vignato,it ITA,"MF,DF",Bologna,20,2000,6.6,12.0,7,5.0,7.0,0.0,6.0,13.0,46.2,7.0,2.0,0.0,2.0,2,14.0,5.0,0.0,SerieA,2021-2022
Matías Viña,uy URU,"DF,FW",Roma,23,1997,17.4,46.0,30,27.0,14.0,5.0,29.0,59.0,49.2,30.0,26.0,3.0,23.0,25,71.0,33.0,0.0,SerieA,2021-2022
Mattia Viti,it ITA,DF,Empoli,19,2002,16.6,28.0,16,16.0,9.0,3.0,15.0,24.0,62.5,9.0,28.0,25.0,3.0,29,57.0,69.0,1.0,SerieA,2021-2022
Dušan Vlahović,rs SRB,FW,Fiorentina,21,2000,20.6,5.0,0,0.0,2.0,3.0,2.0,11.0,18.2,9.0,6.0,2.0,4.0,1,6.0,16.0,0.0,SerieA,2021-2022
Dušan Vlahović,rs SRB,FW,Juventus,21,2000,12.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,0,0.0,7.0,0.0,SerieA,2021-2022
Cristian Volpato,it ITA,"FW,MF",Roma,17,2003,0.4,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2021-2022
Sebastian Walukiewicz,pl POL,DF,Cagliari,21,2000,3.4,9.0,5,7.0,2.0,0.0,3.0,5.0,60.0,2.0,5.0,2.0,3.0,7,16.0,14.0,0.0,SerieA,2021-2022
Magnus Warming,dk DEN,"MF,FW",Torino,21,2000,0.6,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0,SerieA,2021-2022
Kelvin Yeboah,it ITA,"FW,MF",Genoa,21,2000,9.4,14.0,7,5.0,7.0,2.0,9.0,19.0,47.4,10.0,22.0,1.0,21.0,1,15.0,7.0,0.0,SerieA,2021-2022
Gerard Yepes,es ESP,"MF,DF",Sampdoria,18,2002,0.2,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,SerieA,2021-2022
Nicola Zalewski,pl POL,DF,Roma,19,2002,8.8,32.0,19,17.0,11.0,4.0,21.0,35.0,60.0,14.0,18.0,1.0,17.0,16,48.0,4.0,0.0,SerieA,2021-2022
Nicolò Zaniolo,it ITA,"FW,MF",Roma,22,1999,21.9,24.0,15,0.0,15.0,9.0,6.0,28.0,21.4,22.0,19.0,0.0,19.0,7,31.0,6.0,0.0,SerieA,2021-2022
Alessandro Zanoli,it ITA,DF,Napoli,20,2000,5.1,10.0,7,6.0,3.0,1.0,3.0,5.0,60.0,2.0,2.0,1.0,1.0,4,14.0,16.0,0.0,SerieA,2021-2022
Mattia Zanotti,it ITA,DF,Inter,18,2003,0.1,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2021-2022
Gabriele Zappa,it ITA,DF,Cagliari,21,1999,12.7,21.0,9,12.0,6.0,3.0,6.0,24.0,25.0,18.0,15.0,5.0,10.0,14,35.0,28.0,0.0,SerieA,2021-2022
David Zima,cz CZE,DF,Torino,20,2000,14.6,20.0,12,8.0,11.0,1.0,9.0,20.0,45.0,11.0,15.0,13.0,2.0,23,43.0,42.0,0.0,SerieA,2021-2022
Nadir Zortea,it ITA,"DF,MF",Salernitana,22,1999,15.7,21.0,15,9.0,7.0,5.0,11.0,19.0,57.9,8.0,14.0,2.0,12.0,7,28.0,33.0,0.0,SerieA,2021-2022
Petar Zovko,ba BIH,GK,Spezia,19,2002,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2021-2022
Szymon Żurkowski,pl POL,MF,Empoli,23,1997,25.6,58.0,33,24.0,21.0,13.0,29.0,68.0,42.6,39.0,43.0,10.0,33.0,35,93.0,32.0,1.0,SerieA,2021-2022
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,6.0,5,2.0,2.0,2.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,0,6.0,2.0,0.0,Bundesliga,2022-2023
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,16.0,11,6.0,6.0,4.0,8.0,30.0,26.7,22.0,18.0,1.0,17.0,7,23.0,3.0,0.0,Bundesliga,2022-2023
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,18.0,10,4.0,6.0,8.0,5.0,17.0,29.4,12.0,28.0,2.0,26.0,6,24.0,7.0,0.0,Bundesliga,2022-2023
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,1.0,0.0,0.0,Bundesliga,2022-2023
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,17.0,11,7.0,7.0,3.0,8.0,20.0,40.0,12.0,16.0,5.0,11.0,8,25.0,7.0,0.0,Bundesliga,2022-2023
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,8.0,5,3.0,4.0,1.0,3.0,9.0,33.3,6.0,3.0,0.0,3.0,1,9.0,3.0,0.0,Bundesliga,2022-2023
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,1.0,0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,0,1.0,2.0,1.0,Bundesliga,2022-2023
Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,3,3.0,3.0,0.0,Bundesliga,2022-2023
Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,25.0,18,14.0,9.0,2.0,11.0,24.0,45.8,13.0,11.0,0.0,11.0,10,35.0,15.0,0.0,Bundesliga,2022-2023
Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Sanoussy Ba,de GER,DF,RB Leipzig,18,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22,2000,18.4,16.0,8,9.0,7.0,0.0,6.0,15.0,40.0,9.0,20.0,2.0,18.0,15,31.0,20.0,2.0,Bundesliga,2022-2023
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,60.0,38,19.0,28.0,13.0,22.0,49.0,44.9,27.0,38.0,13.0,25.0,41,101.0,39.0,1.0,Bundesliga,2022-2023
Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,31.0,17,18.0,12.0,1.0,17.0,34.0,50.0,17.0,25.0,9.0,16.0,23,54.0,79.0,1.0,Bundesliga,2022-2023
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22,1999,28.5,36.0,19,12.0,17.0,7.0,9.0,52.0,17.3,43.0,57.0,5.0,52.0,15,51.0,19.0,1.0,Bundesliga,2022-2023
Jude Bellingham,eng ENG,MF,Dortmund,19,2003,29.9,76.0,42,28.0,34.0,14.0,34.0,51.0,66.7,17.0,51.0,4.0,47.0,35,111.0,30.0,0.0,Bundesliga,2022-2023
Tom Bischof,de GER,"MF,FW",Hoffenheim,17,2005,3.5,15.0,10,8.0,3.0,4.0,7.0,10.0,70.0,3.0,5.0,1.0,4.0,1,16.0,1.0,0.0,Bundesliga,2022-2023
Yvandro Borges Sanches,lu LUX,"FW,MF",Gladbach,18,2004,0.3,2.0,2,0.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Bundesliga,2022-2023
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23,1999,21.4,29.0,17,17.0,10.0,2.0,16.0,22.0,72.7,6.0,27.0,12.0,15.0,31,60.0,83.0,1.0,Bundesliga,2022-2023
