Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Mathias Olesen,lu LUX,MF,Köln,21,2001,5.3,10.0,5,4.0,4.0,2.0,5.0,8.0,62.5,3.0,6.0,1.0,5.0,2,12.0,3.0,0.0,Bundesliga,2022-2023
Jan Olschowsky,de GER,GK,Gladbach,20,2001,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,Bundesliga,2022-2023
Jordi Osei-Tutu,eng ENG,"DF,FW",Bochum,23,1998,8.3,23.0,18,13.0,5.0,5.0,12.0,23.0,52.2,11.0,12.0,5.0,7.0,10,33.0,8.0,0.0,Bundesliga,2022-2023
Patrick Osterhage,de GER,MF,Bochum,22,2000,11.4,20.0,17,8.0,10.0,2.0,11.0,16.0,68.8,5.0,17.0,6.0,11.0,12,32.0,25.0,0.0,Bundesliga,2022-2023
Reece Oxford,eng ENG,DF,Augsburg,23,1998,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,1.0,1,2.0,5.0,0.0,Bundesliga,2022-2023
Exequiel Palacios,ar ARG,MF,Leverkusen,23,1998,18.4,59.0,36,20.0,33.0,6.0,29.0,48.0,60.4,19.0,29.0,2.0,27.0,33,92.0,28.0,0.0,Bundesliga,2022-2023
Antonios Papadopoulos,de GER,DF,Dortmund,22,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Bundesliga,2022-2023
Kevin Paredes,us USA,"FW,MF",Wolfsburg,19,2003,5.9,13.0,9,6.0,3.0,4.0,9.0,12.0,75.0,3.0,7.0,0.0,7.0,6,19.0,8.0,0.0,Bundesliga,2022-2023
Marco Pašalić,hr CRO,MF,Dortmund,21,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2022-2023
Paulinho,br BRA,FW,Leverkusen,22,2000,0.9,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,2.0,0.0,Bundesliga,2022-2023
