Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season,Tackles %,keeper_GA,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl%,defense_Tkl,defense_Int,Team_Def_Score,Team_Def_Score_Norm,Tackles_Contribution,Tackles Won_Contribution,Interceptions_Contribution,Blocks_Contribution,Clearances_Contribution,Tackles (Def 3rd)_Contribution,Tackles (Mid 3rd)_Contribution,Tackles %_Contribution,Total_Player_Contribution,Role_Adjustment,Final_Contribution_Index
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,22.0,10,10.0,7.0,5.0,8.0,29.0,27.6,21.0,18.0,0.0,18.0,17,39.0,3.0,1.0,Bundesliga,2020-2021,220.00000000000003,37,1071,465,363,271,256,67,700,45.2,594,477,0.02702702702702703,0.4311454311454311,0.037037037037037035,0.027548209366391185,0.03563941299790356,0.03870967741935484,0.004285714285714286,0.03690036900369004,0.02734375,4.867256637168142,5.074720807278233,0.3,0.6563828071189991
Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021,,54,939,370,296,229,204,75,619,42.5,508,431,0.018518518518518517,0.22045855379188706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,15.3,27.0,13,15.0,10.0,2.0,11.0,19.0,57.9,8.0,20.0,3.0,17.0,8,35.0,15.0,0.0,Bundesliga,2020-2021,207.6923076923077,56,1093,419,364,266,239,88,662,44.9,593,500,0.017857142857142856,0.20408163265306117,0.045531197301854974,0.03571428571428571,0.016,0.0477326968973747,0.022658610271903322,0.05639097744360902,0.04184100418410042,4.625663868425562,4.89153264023869,0.44999999999999996,0.4492223853280428
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021,,52,883,365,247,188,186,57,631,37.5,431,452,0.019230769230769232,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,3.0,3,1.0,1.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,7,10.0,6.0,0.0,Bundesliga,2020-2021,100.0,86,963,437,337,283,224,45,693,37.2,552,411,0.011627906976744186,0.04983388704318936,0.005434782608695652,0.008902077151335312,0.0170316301703163,0.009153318077803204,0.008658008658008658,0.0035335689045936395,0.004464285714285714,2.6881720430107525,2.745349714295791,1.0,0.13681144755626864
Sava Cestic,rs SRB,DF,Köln,19,2001,10.0,20.0,9,12.0,6.0,2.0,8.0,17.0,47.1,9.0,13.0,4.0,9.0,18,38.0,40.0,0.0,Bundesliga,2020-2021,222.22222222222223,60,1015,382,328,299,234,53,670,45.4,586,429,0.016666666666666666,0.17460317460317454,0.034129692832764506,0.027439024390243903,0.04195804195804196,0.034031413612565446,0.05970149253731343,0.04013377926421405,0.02564102564102564,4.894762604013706,5.157797074249875,1.0,0.9005677431229937
Tahith Chong,nl NED,"MF,FW",Werder Bremen,20,1999,4.3,11.0,6,1.0,9.0,1.0,4.0,8.0,50.0,4.0,4.0,0.0,4.0,5,16.0,1.0,0.0,Bundesliga,2020-2021,183.33333333333331,57,949,368,333,270,217,55,798,41.0,542,407,0.017543859649122806,0.19632414369256468,0.02029520295202952,0.018018018018018018,0.012285012285012284,0.010869565217391304,0.0012531328320802004,0.003703703703703704,0.041474654377880185,4.471544715447154,4.5794440048332685,0.44999999999999996,0.40457494027662316
Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,2.4,2.0,2,2.0,0.0,0.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,0,2.0,2.0,0.0,Bundesliga,2020-2021,100.0,55,922,379,294,227,201,68,654,44.3,496,426,0.01818181818181818,0.21212121212121204,0.004032258064516129,0.006802721088435374,0.0,0.013192612137203167,0.0030581039755351682,0.00881057268722467,0.0,2.2573363431151243,2.293232611068039,0.8,0.3891546249085156
Tim Civeja,al ALB,MF,Augsburg,18,2002,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3.0,0.0,0.0,Bundesliga,2020-2021,,54,963,395,308,251,211,47,852,40.0,509,454,0.018518518518518517,0.22045855379188706,0.0,0.0,0.006607929515418502,0.0,0.0,0.0,0.0,0.0,0.006607929515418502,0.6,0.0008740647507167327
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,12.1,16.0,8,0.0,10.0,6.0,2.0,15.0,13.3,13.0,14.0,3.0,11.0,9,25.0,9.0,0.0,Bundesliga,2020-2021,200.0,52,970,393,328,268,229,55,739,39.9,552,418,0.019230769230769232,0.23809523809523808,0.028985507246376812,0.024390243902439025,0.0215311004784689,0.035623409669211195,0.012178619756427604,0.0,0.043668122270742356,5.012531328320803,5.178908331644468,0.44999999999999996,0.5548830355333357
