Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Ivor Pandur,hr CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabiano Parisi,it ITA,DF,Empoli,20,2000,25,16,"1,477",16.4,0,1,1,0,0,0,5,0,0.7,0.7,0.3,1.0,58,74,49,0.00,0.06,0.06,0.00,0.06,0.04,0.02,0.06,0.04,0.06
Pietro Pellegri,it ITA,FW,Torino,20,2001,9,1,216,2.4,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,1,17,0.42,0.00,0.42,0.42,0.42,0.16,0.02,0.18,0.16,0.18
Pietro Pellegri,it ITA,FW,Milan,20,2001,6,1,131,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,0,5,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.26,0.10,0.26
Luca Pellegrini,it ITA,DF,Juventus,22,1999,18,15,"1,107",12.3,0,1,1,0,0,0,6,0,0.3,0.3,1.7,2.0,21,35,41,0.00,0.08,0.08,0.00,0.08,0.02,0.14,0.16,0.02,0.16
Carles Pérez,es ESP,"MF,FW",Roma,23,1998,19,3,554,6.2,1,1,2,1,0,0,2,0,1.5,1.5,1.0,2.5,25,19,52,0.16,0.16,0.32,0.16,0.32,0.24,0.17,0.41,0.24,0.41
Nehuén Pérez,ar ARG,DF,Udinese,21,2000,20,19,"1,692",18.8,0,1,1,0,0,0,6,0,1.1,1.1,0.6,1.7,16,40,8,0.00,0.05,0.05,0.00,0.05,0.06,0.03,0.09,0.06,0.09
Mario Perrone,it ITA,DF,Salernitana,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giuseppe Pezzella,it ITA,"DF,MF",Atalanta,23,1997,21,10,"1,072",11.9,0,2,2,0,0,0,3,0,0.6,0.6,0.9,1.5,35,46,80,0.00,0.17,0.17,0.00,0.17,0.05,0.07,0.13,0.05,0.13
Roberto Piccoli,it ITA,FW,Genoa,20,2001,5,2,218,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,0,15,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13
Roberto Piccoli,it ITA,FW,Atalanta,20,2001,12,1,196,2.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,2,1,15,0.46,0.00,0.46,0.46,0.46,0.39,0.12,0.50,0.39,0.50
Andrea Pinamonti,it ITA,FW,Empoli,22,1999,36,32,"2,869",31.9,13,2,15,9,4,4,4,0,12.7,9.5,2.9,12.4,36,51,233,0.41,0.06,0.47,0.28,0.35,0.40,0.09,0.49,0.30,0.39
Riccardo Pinzi,it ITA,FW,Udinese,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Pobega,it ITA,MF,Torino,22,1999,33,24,"2,240",24.9,4,2,6,4,0,0,11,0,3.2,3.2,2.0,5.2,33,128,62,0.16,0.08,0.24,0.16,0.24,0.13,0.08,0.21,0.13,0.21
Suf Podgoreanu,il ISR,FW,Spezia,19,2002,5,1,113,1.3,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,4,2,13,0.00,0.80,0.80,0.00,0.80,0.02,0.02,0.04,0.02,0.04
Manolo Portanova,it ITA,"FW,MF",Genoa,21,2000,24,17,"1,322",14.7,1,0,1,1,0,0,4,0,2.9,2.9,0.6,3.5,30,28,57,0.07,0.00,0.07,0.07,0.07,0.20,0.04,0.24,0.20,0.24
Mateusz Praszelik,pl POL,MF,Hellas Verona,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Niklas Pyyhtiä,fi FIN,MF,Bologna,17,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antonio Raimondo,it ITA,FW,Bologna,17,2004,1,1,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Luca Ranieri,it ITA,DF,Salernitana,22,1999,27,25,"2,103",23.4,1,0,1,1,0,0,9,0,0.6,0.6,1.0,1.6,37,76,69,0.04,0.00,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07
Giacomo Raspadori,it ITA,"MF,FW",Sassuolo,21,2000,36,32,"2,740",30.4,10,4,14,10,0,0,9,1,7.2,7.2,3.7,10.9,49,86,178,0.33,0.13,0.46,0.33,0.46,0.24,0.12,0.36,0.24,0.36
Panagiotis Retsos,gr GRE,DF,Hellas Verona,22,1998,5,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20
Bryan Reynolds,us USA,DF,Roma,20,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuele Ricci,it ITA,MF,Torino,19,2001,12,9,722,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,5,31,8,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
