Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Jordan Teze,nl NED,DF,PSV Eindhoven,22,1999,27,23,"2,012",22.4,0,3,3,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13
Jurriën Timber,nl NED,DF,Ajax,21,2001,34,34,"3,029",33.7,2,2,4,2,0,0,3,0,0.06,0.06,0.12,0.06,0.12
Quinten Timber,nl NED,MF,Feyenoord,21,2001,24,19,"1,638",18.2,2,3,5,2,0,0,2,0,0.11,0.16,0.27,0.11,0.27
Alex Timossi Andersson,se SWE,FW,Heerenveen,21,2001,12,1,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nathan Tjoe-A-On,id IDN,DF,Excelsior,20,2001,29,24,"2,275",25.3,1,1,2,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08
Azzeddine Toufiqui,fr FRA,MF,Emmen,23,1999,5,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Muhammet Tunahan Taşçı,tr TUR,MF,Fortuna Sittard,20,2002,10,0,127,1.4,0,1,1,0,0,0,1,0,0.00,0.71,0.71,0.00,0.71
Calvin Twigt,nl NED,MF,Volendam,19,2003,16,16,"1,297",14.4,1,2,3,1,0,0,0,0,0.07,0.14,0.21,0.07,0.21
Christos Tzolis,gr GRE,"MF,FW",Twente,20,2002,10,5,422,4.7,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21
Manfred Ugalde,cr CRC,FW,Twente,20,2002,24,8,873,9.7,8,1,9,8,0,0,1,0,0.82,0.10,0.93,0.82,0.93
Luciano Valente,it ITA,MF,Groningen,18,2003,20,9,874,9.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Simon Van Duivenbooden,nl NED,FW,Vitesse,20,2002,9,1,164,1.8,1,0,1,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55
Syb Van Ottele,nl NED,DF,Heerenveen,20,2002,20,12,"1,180",13.1,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08
Zinho Vanheusden,be BEL,DF,AZ Alkmaar,23,1999,7,2,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joey Veerman,nl NED,MF,PSV Eindhoven,23,1998,33,30,"2,481",27.6,4,10,14,4,0,0,1,0,0.15,0.36,0.51,0.15,0.51
Yorbe Vertessen,be BEL,FW,PSV Eindhoven,21,2001,8,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gabriel Vidovic,hr CRO,"MF,FW",Vitesse,18,2003,25,14,"1,214",13.5,4,0,4,4,0,0,1,0,0.30,0.00,0.30,0.30,0.30
João Virgínia,pt POR,GK,Cambuur,22,1999,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rémy Vita,km COM,"DF,MF",Fortuna Sittard,21,2001,27,10,"1,192",13.2,2,0,2,2,0,0,0,0,0.15,0.00,0.15,0.15,0.15
Jari Vlak,nl NED,MF,Emmen,23,1998,31,18,"1,685",18.7,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05
Dennis Vos,nl NED,DF,Emmen,20,2001,6,3,364,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Silvano Vos,nl NED,MF,Ajax,17,2005,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
