Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Juan Sebastian Serrano,es ESP,DF,Zaragoza,21,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Francho Serrano,es ESP,MF,Zaragoza,21,2001,22,20,"1,704",18.9,3,1,4,3,0,0,1,0,0.16,0.05,0.21,0.16,0.21
Nicolás Serrano,es ESP,MF,Racing Ferrol,20,2003,14,11,"1,018",11.3,4,2,6,4,0,0,1,0,0.35,0.18,0.53,0.35,0.53
Mario Sesé,es ESP,DF,Oviedo,20,2002,8,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Laorent Shabani,se SWE,MF,FC Andorra,23,1999,2,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arnau Solà,es ESP,"DF,MF",Cartagena,20,2003,18,9,815,9.1,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11
Mario Soriano,es ESP,MF,Eibar,21,2002,41,38,"3,031",33.7,3,4,7,3,0,0,4,0,0.09,0.12,0.21,0.09,0.21
Alejandro Suárez,es ESP,MF,Oviedo,19,2003,3,0,16,0.2,1,0,1,1,0,0,0,0,5.63,0.00,5.63,5.63,5.63
César Tárrega,es ESP,DF,Valladolid,21,2002,16,15,"1,309",14.5,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07
Dani Tasende,es ESP,DF,Villarreal B,23,2000,34,31,"2,758",30.6,1,4,5,1,0,0,7,0,0.03,0.13,0.16,0.03,0.16
Marciano Tchami,gw GNB,"MF,FW",Alcorcón,19,2004,11,4,330,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Terrer,es ESP,MF,Zaragoza,18,2005,4,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Teto,es ESP,"MF,FW",Tenerife,21,2001,33,10,"1,220",13.6,3,2,5,3,0,0,4,0,0.22,0.15,0.37,0.22,0.37
Pablo Tomeo,es ESP,"MF,DF",CD Mirandés,23,2000,29,15,"1,413",15.7,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06
David Torres,es ESP,DF,Valladolid,20,2003,24,21,"1,845",20.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
Rafa Tresaco,es ESP,MF,Huesca,22,2000,16,2,287,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Angel Troncho,es ESP,MF,Amorebieta,20,2002,3,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Angel Troncho,es ESP,MF,Eibar,20,2002,5,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Oscar Ureña,do DOM,"MF,FW",Leganés,20,2003,17,4,466,5.2,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19
Germán Valera,es ESP,MF,Zaragoza,21,2002,38,24,"2,210",24.6,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08
Álex Valle,es ESP,"DF,MF",Levante,19,2004,29,26,"2,307",25.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Hugo Vallejo,es ESP,"MF,FW",Huesca,23,2000,34,19,"1,712",19.0,2,3,5,2,0,0,1,0,0.11,0.16,0.26,0.11,0.26
Gastón Valles,uy URU,FW,Espanyol,22,2001,12,3,341,3.8,0,1,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26
Alberto Vaquero,es ESP,MF,Zaragoza,19,2003,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jonathan Varane,mq MTQ,MF,Sporting Gijón,21,2001,22,5,714,7.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Javi Vargas,es ESP,FW,Albacete,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jaime Vázquez,es ESP,DF,Oviedo,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Unai Vencedor Paris,es ESP,MF,Eibar,22,2000,38,14,"1,358",15.1,2,3,5,2,0,0,4,0,0.13,0.20,0.33,0.13,0.33
Ignasi Vilarrasa,es ESP,"DF,MF",Huesca,23,1999,40,28,"2,686",29.8,4,4,8,4,0,0,1,0,0.13,0.13,0.27,0.13,0.27
Loïc Williams,es ESP,DF,Tenerife,21,2002,21,17,"1,378",15.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Jorge Yriarte,ve VEN,MF,Amorebieta,23,2000,15,2,376,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jorge Yriarte,ve VEN,MF,Eibar,23,2000,5,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
