Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Franco Alfonso,ar ARG,FW,Huracán,21,2002,13,0,264,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Agustín Almendra,ar ARG,MF,Racing Club,23,2000,19,16,"1,219",13.5,2,2,4,2,0,0,3,0,0.15,0.15,0.30,0.15,0.30
Pablo Altamirano,ar ARG,MF,Newell's OB,19,2005,3,1,147,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Francisco Álvarez,ar ARG,DF,Arg Juniors,23,2000,25,24,"2,086",23.2,2,0,2,2,0,0,6,1,0.09,0.00,0.09,0.09,0.09
Gonzalo Álvez,ar ARG,"MF,FW",Independiente Rivadavia,20,2003,6,2,237,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38
Gonzalo Álvez,ar ARG,"FW,DF",Cen. Córdoba–SdE,20,2003,3,2,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santino Andino,ar ARG,"MF,FW",Godoy Cruz,18,2005,15,10,"1,051",11.7,2,2,4,2,0,0,1,0,0.17,0.17,0.34,0.17,0.34
Luis Angulo,co COL,MF,Platense,19,2004,3,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luis Angulo,co COL,"MF,FW",Cen. Córdoba–SdE,19,2004,17,5,643,7.1,3,4,7,3,0,0,1,0,0.42,0.56,0.98,0.42,0.98
Aaron Anselmino,ar ARG,DF,Boca Juniors,18,2005,12,10,874,9.7,0,3,3,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31
Dylan Aquino,ar ARG,"MF,FW",Lanús,18,2005,18,4,646,7.2,1,4,5,1,0,0,2,0,0.14,0.56,0.70,0.14,0.70
Gabriel Aranda,ar ARG,DF,Banfield,22,2001,9,5,478,5.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Oscar Arias,ar ARG,DF,San Lorenzo,19,2005,7,7,546,6.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Blas Armoa,py PAR,MF,Tigre,23,2000,22,17,"1,369",15.2,3,1,4,3,0,0,0,0,0.20,0.07,0.26,0.20,0.26
Rodrigo Atencio,ar ARG,"MF,FW",Cen. Córdoba–SdE,21,2002,26,24,"1,819",20.2,4,1,5,4,0,0,4,0,0.20,0.05,0.25,0.20,0.25
Axel Atum,ar ARG,MF,Estudiantes,18,2006,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thyago Ayala,ar ARG,GK,Sarmiento,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomás Badaloni,ar ARG,FW,Godoy Cruz,23,2000,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elías Báez,ar ARG,DF,San Lorenzo,19,2004,16,15,"1,299",14.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Facundo Báez,ar ARG,FW,Arg Juniors,19,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Agustín Baldi,ar ARG,DF,Belgrano,21,2002,9,7,522,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Guillermo Balzi,ar ARG,MF,Newell's OB,22,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Baños,ar ARG,DF,Newell's OB,18,2005,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juan Barinaga,ar ARG,MF,Belgrano,23,2000,9,8,676,7.5,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13
Juan Barinaga,ar ARG,DF,Boca Juniors,23,2000,8,6,478,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Daniel Barrea,ar ARG,"MF,FW",Godoy Cruz,22,2001,25,16,"1,250",13.9,3,4,7,3,0,0,4,0,0.22,0.29,0.50,0.22,0.50
Bruno Barticciotto,cl CHI,"MF,FW",Talleres,22,2001,22,11,"1,006",11.2,7,2,9,7,0,0,1,0,0.63,0.18,0.81,0.63,0.81
Samuel Beltrán,ar ARG,MF,Rosario Central,19,2004,3,1,63,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Gastón Benedetti,ar ARG,DF,Estudiantes,22,2001,20,15,"1,410",15.7,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06
Nehuén Benedetti,ar ARG,MF,Estudiantes,18,2005,3,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bernardo Benítez,py PAR,"MF,FW",Tigre,21,2002,11,2,363,4.0,0,2,2,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50
Fernando Benítez,ar ARG,"MF,FW",Cen. Córdoba–SdE,23,2000,16,6,587,6.5,1,2,3,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46
Gianluca Benjamín,ar ARG,FW,Vélez Sarsfield,18,2005,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Andrés Berizovsky,ar ARG,DF,Defensa y Just,19,2004,3,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Bernabéu,ar ARG,DF,Belgrano,20,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Besozzi,ar ARG,MF,Newell's OB,21,2003,9,5,445,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juan Bisanz,ar ARG,"MF,FW",Banfield,22,2001,13,9,744,8.3,0,1,1,0,0,0,3,2,0.00,0.12,0.12,0.00,0.12
Giovanni Bogado,py PAR,MF,Rosario Central,22,2001,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Francisco Bonfiglio,es ESP,FW,Atlé Tucumán,22,2002,8,0,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joaquín Borja,ar ARG,MF,Deportivo Riestra,22,2002,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sebastián Boselli,uy URU,DF,Estudiantes,20,2003,9,9,801,8.9,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11
Sebastián Boselli,uy URU,DF,River Plate,20,2003,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Moisés Brandán,ar ARG,DF,Atlé Tucumán,23,2000,19,15,"1,149",12.8,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08
Leandro Brey,ar ARG,GK,Boca Juniors,21,2002,12,11,999,11.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Enzo Briones,ar ARG,MF,Godoy Cruz,19,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ivan Buhajeruk,ar ARG,FW,Deportivo Riestra,23,2000,1,1,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joaquín Burgos,ar ARG,"MF,FW",Estudiantes,19,2004,10,9,566,6.3,2,0,2,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32
Lautaro Bursich,ar ARG,GK,Cen. Córdoba–SdE,21,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Bustos,ar ARG,MF,Belgrano,18,2005,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Facundo Butti,ar ARG,DF,Godoy Cruz,23,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Favio Cabral,ar ARG,FW,Cen. Córdoba–SdE,22,2001,14,4,561,6.2,4,1,5,4,0,1,0,0,0.64,0.16,0.80,0.64,0.80
Rodrigo Cabral,ar ARG,"FW,MF",Huracán,23,2000,24,21,"1,385",15.4,2,1,3,2,0,0,4,0,0.13,0.06,0.19,0.13,0.19
Bruno Cabrera,ar ARG,MF,Lanús,20,2003,6,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elías Cabrera,ar ARG,"MF,FW",Cen. Córdoba–SdE,20,2003,20,11,971,10.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Juan Cáceres,py PAR,DF,Lanús,23,2000,18,11,"1,167",13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Diego Calcaterra,ar ARG,MF,Sarmiento,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jaminton Campaz,co COL,MF,Rosario Central,23,2000,18,13,"1,101",12.2,3,1,4,3,0,0,1,0,0.25,0.08,0.33,0.25,0.33
