Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1
Jamal Musiala,de GER,"MF,FW",Bayern Munich,20,2003,24,20,"1,755",19.5,10,5,15,10,0,0,2,0,0.51,0.26,0.77,0.51,0.77,7.9,7.9,6.0,13.9,103.0,100.0,163.0,0.4,0.31,0.71,0.4,0.71
Nathan N'Goumou,fr FRA,"FW,MF",Gladbach,23,2000,32,14,"1,385",15.4,5,2,7,5,0,0,1,0,0.32,0.13,0.45,0.32,0.45,3.8,3.8,1.7,5.5,52.0,47.0,150.0,0.24,0.11,0.35,0.24,0.35
Luca Netz,de GER,DF,Gladbach,20,2003,30,25,"2,225",24.7,0,4,4,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,1.0,1.0,3.0,3.9,46.0,81.0,99.0,0.04,0.12,0.16,0.04,0.16
Jessic Ngankam,de GER,"FW,MF",Mainz 05,23,2000,7,2,184,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,3.0,1.0,11.0,0.29,0.14,0.43,0.29,0.43
Jessic Ngankam,de GER,FW,Eint Frankfurt,23,2000,15,2,280,3.1,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,0.0,0.7,2.0,1.0,17.0,0.48,0.01,0.49,0.23,0.24
Justin Njinmah,de GER,FW,Werder Bremen,22,2000,24,10,"1,016",11.3,6,2,8,6,0,0,1,0,0.53,0.18,0.71,0.53,0.71,4.9,4.9,2.4,7.3,36.0,13.0,95.0,0.44,0.21,0.65,0.44,0.65
Niels Nkounkou,fr FRA,"DF,MF",Eint Frankfurt,22,2000,29,13,"1,309",14.5,3,2,5,3,0,0,5,1,0.21,0.14,0.34,0.21,0.34,1.3,1.3,2.2,3.5,55.0,61.0,62.0,0.09,0.15,0.24,0.09,0.24
Felix Nmecha,de GER,MF,Dortmund,22,2000,20,10,"1,021",11.3,1,2,3,1,0,0,3,0,0.09,0.18,0.26,0.09,0.26,1.7,1.7,0.9,2.6,19.0,45.0,28.0,0.15,0.08,0.23,0.15,0.23
Jonathan Norbye,no NOR,MF,RB Leipzig,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Oermann,de GER,DF,Bochum,19,2003,16,8,714,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,6.0,25.0,7.0,0.01,0.04,0.05,0.01,0.05
Finn Ole Becker,de GER,MF,Hoffenheim,23,2000,22,5,606,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,16.0,36.0,23.0,0.04,0.06,0.09,0.04,0.09
Mathias Olesen,lu LUX,"MF,FW",Köln,22,2001,6,0,112,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.02,0.01,0.03,0.02,0.03
Loïs Openda,be BEL,FW,RB Leipzig,23,2000,34,33,"2,697",30.0,24,7,31,22,2,3,4,0,0.8,0.23,1.03,0.73,0.97,22.1,19.7,5.8,25.5,77.0,45.0,226.0,0.74,0.19,0.93,0.66,0.85
Leon Opitz,de GER,"FW,DF",Werder Bremen,18,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Patrick Osterhage,de GER,MF,Bochum,23,2000,24,21,"1,861",20.7,2,1,3,2,0,0,5,0,0.1,0.05,0.15,0.1,0.15,1.4,1.4,0.8,2.2,26.0,64.0,65.0,0.07,0.04,0.11,0.07,0.11
Willian Pacho,ec ECU,DF,Eint Frankfurt,21,2001,33,33,"2,970",33.0,0,3,3,0,0,0,7,0,0.0,0.09,0.09,0.0,0.09,1.2,1.2,1.1,2.3,22.0,148.0,4.0,0.04,0.03,0.07,0.04,0.07
