Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Jamie Knight-Lebel,ca CAN,DF,Bristol City,18,2004,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rayan Kolli,dz ALG,"FW,MF",QPR,18,2005,10,0,171,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,0,2,7,0.00,0.53,0.53,0.00,0.53,0.38,0.15,0.53,0.38,0.53
Ismaël Koné,ca CAN,MF,Watford,21,2002,42,28,"2,555",28.4,4,3,7,4,0,0,3,0,2.8,2.8,2.3,5.1,73,151,81,0.14,0.11,0.25,0.14,0.25,0.10,0.08,0.18,0.10,0.18
Mykola Kukharevych,ua UKR,"FW,MF",Swansea City,22,2001,10,0,141,1.6,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,3,12,0.64,0.00,0.64,0.64,0.64,0.22,0.04,0.26,0.22,0.26
Ethan Laird,eng ENG,DF,Birmingham City,22,2001,25,24,"1,994",22.2,0,1,1,0,0,0,7,0,0.6,0.6,1.8,2.4,74,65,96,0.00,0.05,0.05,0.00,0.05,0.03,0.08,0.11,0.03,0.11
Ziyad Larkeche,fr FRA,"DF,FW",QPR,20,2002,20,3,377,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,14,22,22,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03
Joël Latibeaudière,jm JAM,"DF,MF",Coventry City,23,2000,41,28,"2,729",30.3,2,1,3,2,0,0,8,0,0.5,0.5,0.6,1.2,27,123,29,0.07,0.03,0.10,0.07,0.10,0.02,0.02,0.04,0.02,0.04
Dexter Lembikisa,jm JAM,DF,Rotherham Utd,19,2003,25,22,"2,004",22.3,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,21,53,36,0.04,0.00,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03
Charlie Lennon,eng ENG,"FW,MF",Middlesbrough,17,2006,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harry Leonard,eng ENG,FW,Blackburn,19,2003,19,9,837,9.3,3,2,5,3,0,0,2,0,3.8,3.8,1.7,5.5,10,23,64,0.32,0.22,0.54,0.32,0.54,0.40,0.19,0.59,0.40,0.59
Emmanuel Longelo,eng ENG,DF,Birmingham City,22,2000,17,10,"1,015",11.3,0,1,1,0,0,0,4,0,0.3,0.3,0.3,0.5,45,42,33,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05
Ryan Longman,eng ENG,"MF,FW",Millwall,22,2000,35,19,"1,730",19.2,3,3,6,3,0,0,5,0,2.0,2.0,1.9,3.9,60,38,136,0.16,0.16,0.31,0.16,0.31,0.10,0.10,0.20,0.10,0.20
Nathan Lowe,eng ENG,FW,Stoke City,17,2005,13,3,391,4.3,1,0,1,1,0,0,0,0,1.3,1.3,0.3,1.6,2,3,20,0.23,0.00,0.23,0.23,0.23,0.30,0.07,0.37,0.30,0.37
Million Manhoef,nl NED,FW,Stoke City,21,2002,14,9,816,9.1,4,1,5,4,0,0,2,0,3.2,3.2,1.6,4.8,35,30,92,0.44,0.11,0.55,0.44,0.55,0.36,0.17,0.53,0.36,0.53
Sekou Mara,fr FRA,FW,Southampton,21,2002,28,4,564,6.3,3,2,5,3,0,0,1,0,3.4,3.4,1.2,4.6,15,11,47,0.48,0.32,0.80,0.48,0.80,0.54,0.19,0.73,0.54,0.73
Wanya Marcal-Madivadua,pt POR,FW,Leicester City,20,2002,3,2,142,1.6,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.2,6,6,16,0.63,0.00,0.63,0.63,0.63,0.11,0.04,0.15,0.11,0.15
Dilan Markanday,eng ENG,"FW,MF",Blackburn,21,2001,21,7,762,8.5,1,0,1,1,0,0,0,0,1.0,1.0,0.7,1.6,33,40,99,0.12,0.00,0.12,0.12,0.12,0.12,0.08,0.19,0.12,0.19
Callum Marshall,nir NIR,FW,West Brom,18,2004,3,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,4,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Matheus Martins,br BRA,"FW,MF",Watford,20,2003,39,20,"1,764",19.6,5,2,7,5,0,0,3,0,4.0,4.0,2.1,6.1,83,92,202,0.26,0.10,0.36,0.26,0.36,0.21,0.11,0.31,0.21,0.31
Zavier Massiah,eng ENG,MF,Watford,16,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Matos,eng ENG,MF,Huddersfield,18,2004,19,15,"1,278",14.2,1,0,1,1,0,0,6,0,0.4,0.4,0.4,0.8,12,28,12,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.05,0.03,0.05
Ajay Matthews,eng ENG,FW,Middlesbrough,17,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noah Mawene,eng ENG,MF,Preston,18,2005,7,2,167,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Theo Mawene,eng ENG,FW,Preston,16,2007,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eliezer Mayenda,es ESP,"FW,MF",Sunderland,18,2005,8,1,192,2.1,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,7,0,13,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
Adam Mayor,eng ENG,"MF,FW",Millwall,18,2005,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
Kasey McAteer,ie IRL,FW,Leicester City,21,2001,23,13,"1,158",12.9,6,0,6,6,0,0,2,0,5.4,5.4,1.0,6.3,42,27,121,0.47,0.00,0.47,0.47,0.47,0.42,0.08,0.49,0.42,0.49
Law McCabe,eng ENG,MF,Middlesbrough,17,2006,3,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Sam McCallum,eng ENG,DF,Norwich City,22,2000,27,16,"1,474",16.4,1,0,1,1,0,0,3,0,0.5,0.5,1.8,2.3,34,61,85,0.06,0.00,0.06,0.06,0.06,0.03,0.11,0.14,0.03,0.14
Alistair McCann,nir NIR,MF,Preston,23,1999,31,24,"2,069",23.0,0,0,0,0,0,0,10,0,0.8,0.8,0.8,1.5,7,77,19,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07
Ciaran McGuckin,nir NIR,"FW,MF",Rotherham Utd,19,2003,3,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mark McGuinness,ie IRL,DF,Cardiff City,22,2001,30,29,"2,596",28.8,2,0,2,2,0,0,2,0,1.9,1.9,0.3,2.2,1,47,6,0.07,0.00,0.07,0.07,0.07,0.07,0.01,0.08,0.07,0.08
Luke McNally,ie IRL,DF,Stoke City,23,1999,38,36,"3,199",35.5,2,1,3,2,0,0,7,0,2.0,2.0,0.7,2.7,17,68,6,0.06,0.03,0.08,0.06,0.08,0.06,0.02,0.08,0.06,0.08
Dire Mebude,sct SCO,FW,Bristol City,19,2004,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anis Mehmeti,al ALB,"MF,FW",Bristol City,22,2001,38,21,"1,865",20.7,4,1,5,4,0,0,2,0,3.8,3.8,1.6,5.4,100,56,152,0.19,0.05,0.24,0.19,0.24,0.18,0.08,0.26,0.18,0.26
Illan Meslier,fr FRA,GK,Leeds United,23,2000,44,44,"3,922",43.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liam Millar,ca CAN,"DF,MF",Preston,23,1999,35,27,"2,547",28.3,5,5,10,5,0,0,3,0,3.2,3.2,4.2,7.4,167,60,212,0.18,0.18,0.35,0.18,0.35,0.11,0.15,0.26,0.11,0.26
Billy Mitchell,eng ENG,MF,Millwall,23,2000,34,25,"2,211",24.6,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1.0,25,105,29,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04,0.02,0.04
Jayson Molumby,ie IRL,MF,West Brom,23,1999,24,12,"1,105",12.3,0,1,1,0,0,0,4,0,1.8,1.8,0.7,2.5,17,49,33,0.00,0.08,0.08,0.00,0.08,0.14,0.06,0.20,0.14,0.20
Andrew Moran,ie IRL,"FW,MF",Blackburn,19,2003,35,19,"1,856",20.6,2,6,8,2,0,0,4,0,3.9,3.9,4.2,8.1,47,124,138,0.10,0.29,0.39,0.10,0.39,0.19,0.20,0.39,0.19,0.39
James Morris,eng ENG,DF,Watford,21,2001,12,10,774,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,17,30,53,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Elijah Morrison,eng ENG,MF,Bristol City,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyler Morton,eng ENG,MF,Hull City,20,2002,39,35,"2,972",33.0,3,5,8,3,0,0,8,1,2.7,2.7,3.2,5.8,36,148,86,0.09,0.15,0.24,0.09,0.24,0.08,0.10,0.18,0.08,0.18
