Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Antoine Hainaut,fr FRA,"DF,MF",Parma,21,2002,4,2,113,1.3,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,1,5,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Kevin Haveri,al ALB,"DF,FW",Ascoli,21,2001,6,0,52,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,8,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Denis Hergheligiu,it ITA,MF,FeralpiSalò,23,1999,17,5,553,6.1,0,0,0,0,0,0,1,0,0.9,0.9,0.4,1.3,11,40,15,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.21,0.15,0.21
Jay Idzes,id IDN,DF,Venezia,23,2000,25,23,"2,096",23.3,3,0,3,3,0,0,1,0,1.6,1.6,0.1,1.7,9,96,20,0.13,0.00,0.13,0.13,0.13,0.07,0.00,0.07,0.07,0.07
Andreas Jungdal,dk DEN,GK,Cremonese,21,2002,18,18,"1,620",18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Flavio Junior Bianchi,it ITA,"FW,MF",Brescia,23,2000,38,24,"2,228",24.8,4,1,5,4,0,0,1,0,5.9,5.9,2.1,8.0,53,43,144,0.16,0.04,0.20,0.16,0.20,0.24,0.09,0.32,0.24,0.32
Roko Jureškin,hr CRO,"MF,DF",Pisa,22,2000,3,1,104,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yayah Kallon,sl SLE,FW,Bari,22,2001,13,8,627,7.0,0,2,2,0,0,0,2,0,0.4,0.4,1.3,1.7,18,19,48,0.00,0.29,0.29,0.00,0.29,0.05,0.19,0.24,0.05,0.24
Panos Katseris,gr GRE,DF,Catanzaro,22,2001,15,12,996,11.1,0,2,2,0,0,0,4,0,0.7,0.7,2.3,3.0,39,24,70,0.00,0.18,0.18,0.00,0.18,0.06,0.21,0.27,0.06,0.27
Liam Kerrigan,ie IRL,"MF,DF",Como,23,2000,8,1,154,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,3,13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10
Raphael Kofler,it ITA,"DF,MF",Südtirol,18,2005,15,11,756,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,29,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emil Kornvig,dk DEN,MF,Cittadella,23,2000,12,2,222,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,8,8,17,0.00,0.00,0.00,0.00,0.00,0.20,0.05,0.25,0.20,0.25
Rachid Kouda,it ITA,"MF,FW",Spezia,21,2002,26,14,"1,349",15.0,2,2,4,2,0,0,8,0,4.4,4.4,1.6,5.9,44,56,115,0.13,0.13,0.27,0.13,0.27,0.29,0.10,0.40,0.29,0.40
Christos Kourfalidis,gr GRE,MF,FeralpiSalò,20,2002,29,26,"2,229",24.8,3,2,5,3,0,0,4,0,3.3,3.3,1.5,4.8,29,76,78,0.12,0.08,0.20,0.12,0.20,0.13,0.06,0.19,0.13,0.19
Ilias Koutsoupias,gr GRE,MF,Bari,22,2001,14,13,964,10.7,2,1,3,2,0,0,2,0,2.0,2.0,0.6,2.6,23,23,34,0.19,0.09,0.28,0.19,0.28,0.19,0.06,0.24,0.19,0.24
Erdis Kraja,al ALB,"MF,DF",Ascoli,23,2000,5,1,136,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,7,3,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25
Dimo Krastev,bg BUL,DF,Catanzaro,20,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dimo Krastev,bg BUL,DF,FeralpiSalò,20,2003,3,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Raimonds Krollis,lv LVA,"FW,MF",Spezia,21,2001,9,0,130,1.4,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,1,1,16,0.00,0.00,0.00,0.00,0.00,0.49,0.09,0.58,0.49,0.58
Nunzio Lella,it ITA,MF,Venezia,23,2000,20,12,815,9.1,0,1,1,0,0,0,3,0,1.6,1.6,1.4,3.0,11,36,55,0.00,0.11,0.11,0.00,0.11,0.18,0.16,0.33,0.18,0.33
Noha Lemina,fr FRA,MF,Sampdoria,18,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mats Lemmens,be BEL,DF,Calcio Lecco 1912,21,2002,18,13,"1,165",12.9,1,1,2,1,0,0,8,1,1.1,1.1,0.3,1.4,6,32,22,0.08,0.08,0.15,0.08,0.15,0.08,0.03,0.11,0.08,0.11
Giovanni Leoni,it ITA,DF,Sampdoria,16,2006,12,9,763,8.5,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,1,21,0,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07
Ben Lhassine Kone,ci CIV,MF,Como,23,2000,14,8,757,8.4,0,1,1,0,0,0,7,1,0.4,0.4,1.3,1.7,13,33,14,0.00,0.12,0.12,0.00,0.12,0.05,0.15,0.20,0.05,0.20
Lorenzo Lucchesi,it ITA,DF,Ternana,20,2003,25,25,"2,154",23.9,2,1,3,2,0,0,6,0,2.0,2.0,0.6,2.6,38,63,20,0.08,0.04,0.13,0.08,0.13,0.08,0.02,0.11,0.08,0.11
Kristoffer Lund,us USA,DF,Palermo,21,2002,35,31,"2,506",27.8,2,2,4,2,0,0,3,0,0.8,0.8,3.0,3.8,68,91,170,0.07,0.07,0.14,0.07,0.14,0.03,0.11,0.13,0.03,0.13
Giacomo Manzari,it ITA,"MF,FW",Ascoli,22,2000,15,5,518,5.8,1,2,3,1,0,0,1,0,1.4,1.4,0.6,1.9,9,18,34,0.17,0.35,0.52,0.17,0.52,0.24,0.10,0.34,0.24,0.34
