Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Eliédson,br BRA,MF,Criciúma,20,2003,5,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emersonn,br BRA,"FW,MF",Ath Paranaense,19,2004,13,2,386,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.7,1.6,9,5,30,0.00,0.00,0.00,0.00,0.00,0.22,0.16,0.37,0.22,0.37
Endrick,br BRA,"MF,FW",Palmeiras,17,2006,6,6,453,5.0,0,0,0,0,0,0,3,0,1.1,1.1,0.7,1.8,10,15,28,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35
Esquerdinha,br BRA,"DF,FW",Fluminense,17,2006,5,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,6,5,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.34,0.08,0.34
Lucas Esquivel,ar ARG,DF,Ath Paranaense,22,2001,33,31,"2,720",30.2,0,4,4,0,0,0,5,1,0.6,0.6,4.5,5.1,57,178,87,0.00,0.13,0.13,0.00,0.13,0.02,0.15,0.17,0.02,0.17
Lucas Esteves,br BRA,DF,Vitória,23,2000,34,32,"2,932",32.6,1,4,5,1,0,0,10,0,1.6,1.6,3.0,4.6,46,108,126,0.03,0.12,0.15,0.03,0.15,0.05,0.09,0.14,0.05,0.14
Guilherme Estrella,br BRA,MF,Vasco da Gama,18,2005,3,3,146,1.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,4,7,0.62,0.00,0.62,0.62,0.62,0.24,0.02,0.26,0.24,0.26
Everton,br BRA,FW,Red Bull Bragantino,21,2002,1,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Evertton,br BRA,MF,Flamengo,20,2003,16,8,803,8.9,1,0,1,1,0,0,3,0,0.9,0.9,0.2,1.0,9,41,5,0.11,0.00,0.11,0.11,0.11,0.10,0.02,0.12,0.10,0.12
Ewerton,br BRA,"DF,FW",Juventude,23,2000,24,12,"1,189",13.2,1,2,3,1,0,0,1,0,1.0,1.0,1.5,2.4,10,35,51,0.08,0.15,0.23,0.08,0.23,0.07,0.11,0.18,0.07,0.18
Fabiano,br BRA,DF,Botafogo (RJ),17,2006,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabinho,br BRA,MF,Palmeiras,21,2002,19,4,513,5.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.5,5,36,13,0.18,0.00,0.18,0.18,0.18,0.05,0.04,0.09,0.05,0.09
Fabrício,br BRA,GK,Red Bull Bragantino,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathan Fernandes,br BRA,"FW,MF",Grêmio,18,2005,19,1,544,6.0,0,0,0,0,0,0,3,0,1.5,1.5,0.1,1.6,18,17,51,0.00,0.00,0.00,0.00,0.00,0.24,0.02,0.26,0.24,0.26
Jean Carlos Alves Ferreira,br BRA,"FW,MF",Atl Goianiense,18,2005,3,0,32,0.4,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,0,9,0.00,0.00,0.00,0.00,0.00,1.55,0.00,1.55,1.55,1.55
Filipinho,br BRA,MF,Ath Paranaense,22,2001,18,12,923,10.3,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.7,7,16,11,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Ryan Francisco,br BRA,FW,São Paulo,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Freitas,br BRA,DF,Juventude,23,2001,16,15,"1,256",14.0,0,0,0,0,0,0,3,1,0.2,0.2,0.1,0.4,8,43,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Gabriel,br BRA,DF,Bahia,22,2001,35,35,"3,150",35.0,0,0,0,0,0,0,8,0,1.4,1.4,0.2,1.5,20,115,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
Mateo Gamarra,py PAR,DF,Ath Paranaense,23,2000,19,16,"1,482",16.5,0,0,0,0,0,0,7,0,1.3,1.3,0.2,1.6,4,59,2,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
García,br BRA,"MF,FW",Palmeiras,22,2002,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wesley Gasolina,br BRA,DF,Cruzeiro,23,2000,4,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06
Agustín Giay,ar ARG,DF,Palmeiras,20,2004,10,8,642,7.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,16,37,22,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.08,0.12
Luciano Giménez,ar ARG,"FW,MF",Cuiabá,23,2000,6,0,73,0.8,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Giovane,br BRA,"FW,MF",Corinthians,20,2003,11,1,274,3.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,3,4,28,0.33,0.00,0.33,0.33,0.33,0.33,0.04,0.37,0.33,0.37
Davi Goes,br BRA,MF,Juventude,18,2005,3,1,66,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Bruno Gomes,br BRA,"DF,MF",Internacional,22,2001,30,24,"2,157",24.0,1,2,3,1,0,0,3,0,0.8,0.8,1.1,1.9,58,152,108,0.04,0.08,0.13,0.04,0.13,0.03,0.05,0.08,0.03,0.08
Igor Gomes,br BRA,DF,Internacional,22,2001,13,7,688,7.6,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.3,8,22,15,0.13,0.13,0.26,0.13,0.26,0.03,0.01,0.04,0.03,0.04
William Gomes,br BRA,"FW,MF",São Paulo,17,2006,11,4,495,5.5,3,1,4,3,0,0,2,0,1.3,1.3,0.5,1.7,25,14,63,0.55,0.18,0.73,0.55,0.73,0.23,0.08,0.32,0.23,0.32
Matheus Gonçalves,br BRA,"FW,MF",Flamengo,18,2005,14,8,682,7.6,2,0,2,2,0,0,1,0,1.7,1.7,0.9,2.6,32,48,83,0.26,0.00,0.26,0.26,0.26,0.23,0.11,0.34,0.23,0.34
Guilherme,br BRA,MF,Flamengo,17,2006,1,0,34,0.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,1,0,1,2.65,0.00,2.65,2.65,2.65,1.28,0.00,1.28,1.28,1.28
Guilherme,br BRA,DF,Red Bull Bragantino,21,2002,14,7,670,7.4,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,8,18,18,0.00,0.13,0.13,0.00,0.13,0.01,0.03,0.04,0.01,0.04
Luis Guilherme,br BRA,"FW,DF",Palmeiras,17,2006,5,1,183,2.0,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.3,12,8,19,0.00,0.49,0.49,0.00,0.49,0.18,0.47,0.65,0.18,0.65
Zé Guilherme,br BRA,DF,Grêmio,18,2005,6,2,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Gustavinho,br BRA,"MF,FW",Red Bull Bragantino,19,2004,27,11,954,10.6,1,3,4,1,0,0,1,0,0.9,0.9,1.5,2.4,9,45,33,0.09,0.28,0.38,0.09,0.38,0.08,0.14,0.22,0.08,0.22
Luiz Gustavo,br BRA,"DF,MF",Atl Goianiense,20,2003,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Gustavo,br BRA,MF,Corinthians,20,2003,11,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,4,16,8,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Rafael Haller,uy URU,DF,Atl Goianiense,23,2000,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Halter,br BRA,DF,Botafogo (RJ),23,2000,17,15,"1,353",15.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,8,42,1,0.07,0.00,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03
Helinho,br BRA,"FW,MF",Red Bull Bragantino,23,2000,17,14,"1,102",12.2,7,2,9,7,0,0,4,0,3.4,3.4,2.1,5.5,35,43,74,0.57,0.16,0.74,0.57,0.74,0.27,0.17,0.45,0.27,0.45
