Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Francisco Reyes,do DOM,DF,Volendam,17,2006,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Julian Rijkhoff,nl NED,FW,Ajax,18,2005,8,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Milan Robberechts,be BEL,"MF,FW",Fortuna Sittard,19,2004,10,2,217,2.4,1,0,1,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41
Robin Roefs,nl NED,GK,NEC Nijmegen,20,2003,5,4,420,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Godfried Roemeratoe,cw CUW,MF,RKC Waalwijk,23,1999,29,28,"2,328",25.9,0,2,2,0,0,0,8,1,0.00,0.08,0.08,0.00,0.08
Ole Romeny,nl NED,FW,Utrecht,23,2000,15,4,518,5.8,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17
Bart van Rooij,nl NED,DF,NEC Nijmegen,22,2001,24,23,"1,975",21.9,2,3,5,2,0,0,5,1,0.09,0.14,0.23,0.09,0.23
Kaj de Rooij,nl NED,MF,Zwolle,22,2000,5,1,165,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ruben Roosken,nl NED,"DF,MF",Heracles Almelo,23,2000,23,14,"1,312",14.6,0,2,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14
Sergi Rosanas,es ESP,DF,Sparta R'dam,22,2001,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rayvien Rosario,cw CUW,MF,Sparta R'dam,19,2004,6,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mathias Ross,dk DEN,DF,NEC Nijmegen,22,2001,20,9,"1,041",11.6,2,0,2,2,0,0,3,0,0.17,0.00,0.17,0.17,0.17
Nils Rossen,nl NED,MF,NEC Nijmegen,17,2005,3,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daan Rots,nl NED,"MF,FW",Twente,22,2001,33,33,"2,573",28.6,7,10,17,7,0,0,3,0,0.24,0.35,0.59,0.24,0.59
Mats Rots,nl NED,DF,Twente,17,2006,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pim Saathof,nl NED,MF,Go Ahead Eag,19,2003,4,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ibrahim Sadiq,gh GHA,"FW,MF",AZ Alkmaar,23,2000,16,5,658,7.3,2,3,5,2,0,0,3,0,0.27,0.41,0.68,0.27,0.68
Osame Sahraoui,ma MAR,"MF,FW",Heerenveen,22,2001,32,28,"2,469",27.4,8,4,12,8,0,0,0,0,0.29,0.15,0.44,0.29,0.44
Ismael Saibari,ma MAR,MF,PSV Eindhoven,22,2001,19,10,"1,017",11.3,5,4,9,5,0,0,1,0,0.44,0.35,0.80,0.44,0.80
Koki Saito,jp JPN,"MF,FW",Sparta R'dam,21,2001,21,20,"1,658",18.4,3,5,8,3,0,0,0,0,0.16,0.27,0.43,0.16,0.43
Anass Salah-Eddine,nl NED,DF,Ajax,21,2002,6,2,192,2.1,0,1,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47
Anass Salah-Eddine,nl NED,DF,Twente,21,2002,6,0,126,1.4,0,1,1,0,0,0,0,0,0.00,0.71,0.71,0.00,0.71
Shurandy Sambo,nl NED,DF,PSV Eindhoven,21,2001,11,1,190,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cisse Sandra,be BEL,MF,Excelsior,19,2003,26,19,"1,670",18.6,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
Mohamed Sankoh,nl NED,FW,Heracles Almelo,19,2003,28,12,"1,088",12.1,6,0,6,6,0,0,2,0,0.50,0.00,0.50,0.50,0.50
